id,title,upload_date,duration_seconds,duration_bucket,title_chars,title_words,view_count,like_count,thumbnail_url,caption_source,has_turkish_subtitles
kVgyKz4hYcY,"9, 32, 66, 83 Yaşları Neden Önemli? Yolun Yarısı 35 Değil!",,1418,10m+,58,11,455339,16607,https://i.ytimg.com/vi_webp/kVgyKz4hYcY/maxresdefault.webp,automatic,True
ghS-AkvGg9U,Uzay Gerçekte Sessiz mi? (Bir Kara Deliğin Orijinal Sesi),,1227,10m+,57,9,376583,10865,https://i.ytimg.com/vi/ghS-AkvGg9U/maxresdefault.jpg,automatic,True
s2zxxlsw6WU,Artemis II - 10. Gün Özeti (Türkçe Altyazılı) Atmosfere Giriş ve Tarihi Okyanus İnişi,,2647,10m+,85,13,100676,2240,https://i.ytimg.com/vi/s2zxxlsw6WU/maxresdefault.jpg,automatic,True
9FzsLFfooCQ,Artemis II - 9. Gün Özeti (Türkçe Altyazılı) Dönüş Yolunun Yarısı,,1152,10m+,65,10,51683,1332,https://i.ytimg.com/vi_webp/9FzsLFfooCQ/maxresdefault.webp,automatic,True
vtjaQDJLG5c,Artemis II - 8. Gün Özeti (Türkçe Altyazılı) Eve Dönüş Hazırlıkları,,1352,10m+,67,10,57451,1449,https://i.ytimg.com/vi/vtjaQDJLG5c/maxresdefault.jpg,automatic,True
dAGGhi6On20,Artemis II - 7. Gün Özeti (Türkçe Altyazılı) ISS ve Integrity astronotları uzayda konuşuyor,,1473,10m+,91,13,82428,1865,https://i.ytimg.com/vi/dAGGhi6On20/maxresdefault.jpg,automatic,True
MWdQoLkiB2A,Artemis II - 6. Gün Özeti (Türkçe Altyazılı) Ay Geçişi,,2426,10m+,54,9,104776,2825,https://i.ytimg.com/vi/MWdQoLkiB2A/maxresdefault.jpg,automatic,True
ccZqiZ3Woo4,Artemis II - 5. Gün Özeti (Türkçe Altyazılı) Ay Geçişine Son Hazırlıklar,,1468,10m+,72,11,80751,1722,https://i.ytimg.com/vi/ccZqiZ3Woo4/maxresdefault.jpg,automatic,True
PIKh7fpyqAY,Artemis II - 4.Gün Özeti (Türkçe Altyazılı) Tarihin En Uzak Röportajı ve İrtifa Referans Değişimi,,1326,10m+,97,15,97649,2803,https://i.ytimg.com/vi/PIKh7fpyqAY/maxresdefault.jpg,automatic,True
-6Pfo0p28to,Artemis II - 3.Gün Özeti (Türkçe Altyazılı) Orion Ay'a Dünya'dan Daha Yakın,,1664,10m+,77,14,101530,2738,https://i.ytimg.com/vi/-6Pfo0p28to/maxresdefault.jpg,automatic,True
6N-r4492zws,Artemis II - 2.Gün Özeti (Türkçe Altyazılı),,1140,10m+,45,9,84701,2802,https://i.ytimg.com/vi_webp/6N-r4492zws/maxresdefault.webp,automatic,True
Fwfdt3n13JY,Artemis II - 1.Gün Özeti (Türkçe Altyazılı),,2004,10m+,45,9,84028,2260,https://i.ytimg.com/vi/Fwfdt3n13JY/maxresdefault.jpg,automatic,True
t9CntIgeF3o,Ay yolunda Artemis II Mürettebatından İlk Açıklamalar (Türkçe Altyazılı),,1274,10m+,75,12,201645,5908,https://i.ytimg.com/vi_webp/t9CntIgeF3o/maxresdefault.webp,automatic,True
dGbJRqV19tw,Project Hail Mary: Bu Film Neden Bu Kadar İyi?,,1374,10m+,46,9,356315,12437,https://i.ytimg.com/vi_webp/dGbJRqV19tw/maxresdefault.webp,automatic,True
VrmlU0BuGKQ,Dünyanın En Ölümcül Hayvanı Bulundu!,,1283,10m+,36,5,463338,15931,https://i.ytimg.com/vi_webp/VrmlU0BuGKQ/maxresdefault.webp,automatic,True
3govhbrSRuE,Sinek Beynini Bilgisayara Yüklediler (Ve Çalıştı),,1746,10m+,49,6,995833,22253,https://i.ytimg.com/vi_webp/3govhbrSRuE/maxresdefault.webp,automatic,True
AFYR_0DQmlc,"""Olmak ya da Olmamak"" Aslında Ne Demek?",,1853,10m+,39,7,331198,15645,https://i.ytimg.com/vi_webp/AFYR_0DQmlc/maxresdefault.webp,automatic,True
9ZSZRKPD3_A,Yıldızlara Neden ASLA Gidemeyeceğiz?,,2091,10m+,36,4,2069973,57039,https://i.ytimg.com/vi_webp/9ZSZRKPD3_A/maxresdefault.webp,automatic,True
LV-BB-bUi88,Billie Eilish'in Beyni Neden Farklı Çalışıyor?,,1344,10m+,46,6,664646,23546,https://i.ytimg.com/vi_webp/LV-BB-bUi88/maxresdefault.webp,automatic,True
CpMJBlnpDTU,Z Kuşağı Aptallaşıyor mu? IQ Testleri neden düşüyor?,,1179,10m+,55,11,934837,32507,https://i.ytimg.com/vi_webp/CpMJBlnpDTU/maxresdefault.webp,automatic,True
NgAQ6syyMfI,YAPAY ZEKALAR KENDİ DİNİNİ Mİ KURDU?,,1648,10m+,36,6,754741,22423,https://i.ytimg.com/vi_webp/NgAQ6syyMfI/maxresdefault.webp,automatic,True
CuF6jZ1nTIg,Neden LEGO ve Minecraft Bu Kadar Tatmin Edici?,,1020,10m+,46,8,212970,8860,https://i.ytimg.com/vi_webp/CuF6jZ1nTIg/maxresdefault.webp,automatic,True
YNxxaxymFic,53 Yıl Sonra Ay’a Neden Geri Dönüyoruz? ARTEMIS 2,,1363,10m+,49,9,866669,18771,https://i.ytimg.com/vi_webp/YNxxaxymFic/maxresdefault.webp,automatic,True
-ZPHKf-8T6I,Neden Her Şey Grileşiyor?,,1155,10m+,25,4,1129944,45760,https://i.ytimg.com/vi_webp/-ZPHKf-8T6I/maxresdefault.webp,automatic,True
3b5zMy-kFIs,2026’da Dünyayı Değiştirecek 5 BÜYÜK TREND,,1255,10m+,42,6,807305,21738,https://i.ytimg.com/vi_webp/3b5zMy-kFIs/maxresdefault.webp,automatic,True
mtV_bV3Cc1g,Dijital Çağda İnsan Kalabilmek,,1096,10m+,30,4,394976,24446,https://i.ytimg.com/vi_webp/mtV_bV3Cc1g/maxresdefault.webp,automatic,True
VxYph35JIFc,Dalgalar Aslında Sudan Oluşmaz,,1052,10m+,30,4,360646,11558,https://i.ytimg.com/vi_webp/VxYph35JIFc/maxresdefault.webp,automatic,True
JHwyNYNjEGg,200 Yıl Yaşamanın Bedeli,,697,10m+,24,4,380655,10929,https://i.ytimg.com/vi_webp/JHwyNYNjEGg/maxresdefault.webp,automatic,True
esvaeYNLLxQ,2026 Zinciri Kırma takvimi için VORONOI Zaman Haritası tasarladım,,492,5-10m,65,9,219116,9551,https://i.ytimg.com/vi_webp/esvaeYNLLxQ/maxresdefault.webp,automatic,True
dgVRG9BQTp8,"Netflix, Warner Bros.'u Alıp Sinemayı Öldürecek mi?",,1205,10m+,51,8,473210,15534,https://i.ytimg.com/vi_webp/dgVRG9BQTp8/maxresdefault.webp,automatic,True
7bv-LaRgFM0,Beynimi Ele Geçiren Görünmez Mimarlar,,965,10m+,37,5,240787,9128,https://i.ytimg.com/vi_webp/7bv-LaRgFM0/maxresdefault.webp,automatic,True
LYoJnCpRswo,Yapay Zeka Balonu Patlamak Üzere mi? LLM Duvara mı Çarptı?,,1020,10m+,58,10,750752,19010,https://i.ytimg.com/vi/LYoJnCpRswo/maxresdefault.jpg,automatic,True
bNi3Dr3Rozk,NASA nihayet son noktayı koydu! 3I/ATLAS’ın en yeni görüntüleri,,1034,10m+,63,10,560341,15982,https://i.ytimg.com/vi/bNi3Dr3Rozk/maxresdefault.jpg,automatic,True
6Nf6YJTKbeM,"Pluribus, Breaking Bad Seviyesinde Yeni bir Başyapıt mı?",,1619,10m+,56,8,542751,14305,https://i.ytimg.com/vi_webp/6Nf6YJTKbeM/maxresdefault.webp,automatic,True
T80Uf1QHb4g,ChatGPT-7 Burada Eğitilecek!,,1079,10m+,28,4,264636,9115,https://i.ytimg.com/vi/T80Uf1QHb4g/maxresdefault.jpg,automatic,True
aXKrCUIswsI,20.000$'lık Robot Hizmetçi Aldın Ama... İçinde Başka Biri Var! (NEO İnceleme),,1051,10m+,77,13,885139,19437,https://i.ytimg.com/vi_webp/aXKrCUIswsI/maxresdefault.webp,automatic,True
VQamq69v1_Q,SADECE 7 DAKİKA!,,1209,10m+,16,3,654662,19576,https://i.ytimg.com/vi_webp/VQamq69v1_Q/maxresdefault.webp,automatic,True
AplM0_vuwPo,3I/ATLAS Uzaylı Teknolojisi mi? Harvard Profesörünün İnanılmaz Hipotezi!,,1501,10m+,72,9,1013955,25767,https://i.ytimg.com/vi_webp/AplM0_vuwPo/maxresdefault.webp,automatic,True
xk-ibwemIvs,Bu Deney Nobel Kazandı: Milyarlarca Parçacık Aynı Anda Kuantum Tünelleme Yaptı!,,1046,10m+,79,11,455615,13272,https://i.ytimg.com/vi/xk-ibwemIvs/maxresdefault.jpg,automatic,True
_4LindMCM0g,SORA 2 çıktı! İnternetin Sonunu Getirmek için Seni Bekliyor!,,1649,10m+,60,9,458906,13090,https://i.ytimg.com/vi_webp/_4LindMCM0g/maxresdefault.webp,automatic,True
_2suGdcsiBo,Evrenin En Gizemli Sayısı,,880,10m+,25,4,504824,14632,https://i.ytimg.com/vi/_2suGdcsiBo/maxresdefault.jpg,automatic,True
AqaDLptyOYs,"Apple, NOKIA olur mu? iPhone'un Sonu mu Geliyor?",,1215,10m+,48,8,933601,22364,https://i.ytimg.com/vi_webp/AqaDLptyOYs/maxresdefault.webp,automatic,True
rCstA_qbqmM,Mars'ta Yaşam mı Bulundu? NASA’nın “Leopar Lekesi” Keşfi!,,903,10m+,57,8,696131,19423,https://i.ytimg.com/vi_webp/rCstA_qbqmM/maxresdefault.webp,automatic,True
FkeoWwX5IQM,"2025'te 3D Yazıcı Devrimi: Uzayda Metal, Dünya'da Organ Basıyoruz!",,868,10m+,66,9,262746,7727,https://i.ytimg.com/vi_webp/FkeoWwX5IQM/maxresdefault.webp,automatic,True
U9syH56ZbIE,Taylor Swift'in Nişan Fotoğrafındaki 600 Yıllık Sır,,939,10m+,51,7,183338,10828,https://i.ytimg.com/vi_webp/U9syH56ZbIE/maxresdefault.webp,automatic,True
tfY_Ted8YBo,Alışkanlıkları Kalıcı Yapmanın Yeni Yolu: AYNA KONUŞMALARI,,1325,10m+,58,7,248584,11087,https://i.ytimg.com/vi_webp/tfY_Ted8YBo/maxresdefault.webp,automatic,True
6ROS5Cn92cg,Filmler Artık Böyle Çekilecek! Stüdyo Turu,,1802,10m+,42,6,299173,10303,https://i.ytimg.com/vi_webp/6ROS5Cn92cg/maxresdefault.webp,manual,True
dZxavUq6r00,Bir Cümleyle Evren Kurmak: Google Genie 3 Devrimi,,1036,10m+,49,8,426497,12461,https://i.ytimg.com/vi_webp/dZxavUq6r00/maxresdefault.webp,automatic,True
bmWaS-wdWZY,"Şefin Yeni Bıçağı, Yapay Zeka",,842,10m+,29,5,247205,9738,https://i.ytimg.com/vi_webp/bmWaS-wdWZY/maxresdefault.webp,automatic,True
TsdR5K0kTiA,Dünya’yı İkiye Bölen Görünmez Çizgi,,953,10m+,35,5,620470,12653,https://i.ytimg.com/vi_webp/TsdR5K0kTiA/maxresdefault.webp,automatic,True
7Qzz8pgbYFo,"Süpermen ""Amerikan Rüyası""nı Neden Bitirdi?",,862,10m+,43,6,317837,9988,https://i.ytimg.com/vi_webp/7Qzz8pgbYFo/maxresdefault.webp,automatic,True
ORePRFaKQZk,"Dünya Hızlanıyor, Bu Yaz Tarihin En Kısa Günleri Yaşanacak!",,762,10m+,59,9,454184,13585,https://i.ytimg.com/vi_webp/ORePRFaKQZk/maxresdefault.webp,automatic,True
-scY0Dwio3Y,50 Yıldır Bitmeyen Takıntı: JAWS’ın Sakladığı Karanlık Sır,,868,10m+,58,8,244877,8286,https://i.ytimg.com/vi_webp/-scY0Dwio3Y/maxresdefault.webp,automatic,True
N1daEmVOdvU,"Robotaksi Gerçeği: Direksiyon Bizde mi, Musk’ta mı?",,1488,10m+,51,7,238594,7044,https://i.ytimg.com/vi/N1daEmVOdvU/maxresdefault.jpg,automatic,True
abNrJtHpt5Q,Dünyanın en büyük kamerası uzayın filmini çekmeye başladı!,,1024,10m+,58,8,949963,23429,https://i.ytimg.com/vi_webp/abNrJtHpt5Q/maxresdefault.webp,automatic,True
WpAbtdX5WuU,2026'da Mars Hayali Çöktü mü? Starship Patlaması,,789,10m+,48,7,426563,10986,https://i.ytimg.com/vi_webp/WpAbtdX5WuU/maxresdefault.webp,automatic,True
ZpbuRUKThF4,SCROLL’U KIR 🔊 Az Bilinen 10 Sesli Kitap Hazinesi,,1189,10m+,49,8,200707,6298,https://i.ytimg.com/vi_webp/ZpbuRUKThF4/maxresdefault.webp,automatic,True
xB0yDDYgBYA,Beyin hücreleriyle çalışan dünyanın ilk bilgisayarı CL1 satışa çıktı!,,1000,10m+,69,9,727853,21728,https://i.ytimg.com/vi_webp/xB0yDDYgBYA/maxresdefault.webp,automatic,True
jXVm90e5k6Y,iPhone’dan Sonraki Devrim Bu mu? | Jony Ive & Sam Altman Güçlerini Birleştirdi,,1297,10m+,78,11,761639,24187,https://i.ytimg.com/vi_webp/jXVm90e5k6Y/maxresdefault.webp,automatic,True
RtfUtBsZyxU,"Google, “Arama motoru öldü” diyen ChatGPT’ye meydan okudu!",,1452,10m+,58,8,1179515,26979,https://i.ytimg.com/vi_webp/RtfUtBsZyxU/maxresdefault.webp,automatic,True
u_poyyzoMbI,1 Trilyon Dolar Miras Kalsaydı Ne Yapardın?,,934,10m+,43,7,674557,16716,https://i.ytimg.com/vi_webp/u_poyyzoMbI/maxresdefault.webp,automatic,True
hd5McEKLJgY,Günde 750 e-Postayla Nasıl Başa Çıkıyorum?,,852,10m+,42,7,90547,2947,https://i.ytimg.com/vi_webp/hd5McEKLJgY/maxresdefault.webp,automatic,True
tyRfTgRD4hU,Bu Adam Kendini 200 Kez Yılanlara Isırttı… Sebebi İnanılmaz!,,591,5-10m,60,9,716911,16726,https://i.ytimg.com/vi_webp/tyRfTgRD4hU/maxresdefault.webp,automatic,True
6uIt4f38TdQ,Tek Kişilik Dev Kadro Nasıl Olunur?,,1398,10m+,35,6,443068,16656,https://i.ytimg.com/vi_webp/6uIt4f38TdQ/maxresdefault.webp,automatic,True
DOC7gTsyMxk,Tarihin Gizli Ritmi: 80 Yılda Bir Gelen Kriz Kapıda mı?,,1184,10m+,55,10,635245,19601,https://i.ytimg.com/vi_webp/DOC7gTsyMxk/maxresdefault.webp,automatic,True
BRK7SfjQzDk,Brezilya Cevizi Etkisi: Kuruyemiş Paketlerinde Saklı İlginç Gerçek!,,575,5-10m,67,8,186312,5525,https://i.ytimg.com/vi_webp/BRK7SfjQzDk/maxresdefault.webp,automatic,True
e5T---HiB08,Bilim insanları 12000 yıl sonra antik DNA ile ULUKURTLARI geri mi getirdi?,,985,10m+,74,12,1133520,36337,https://i.ytimg.com/vi_webp/e5T---HiB08/maxresdefault.webp,automatic,True
drKXIna4kLU,ERGEN Neden Bu Kadar Çok İnsana Dokunuyor?,,840,10m+,42,7,360362,16759,https://i.ytimg.com/vi_webp/drKXIna4kLU/maxresdefault.webp,automatic,True
PTiHbsCuN-4,Tesla sahipleri neden arabalarını gizliyor?,,2245,10m+,43,5,753259,19775,https://i.ytimg.com/vi/PTiHbsCuN-4/maxresdefault.jpg,automatic,True
3fNkaQBszYE,Neden Uyuyamıyoruz? Daha İyi Uyku İçin 6 Bilimsel Yöntem!,,716,10m+,57,9,933475,34701,https://i.ytimg.com/vi_webp/3fNkaQBszYE/maxresdefault.webp,automatic,True
0Wpna736wwE,Yapay Zeka Çağında Hayatta Kalma Rehberi! (Gelecek Korkusunu Bitir),,1230,10m+,67,9,650733,22276,https://i.ytimg.com/vi_webp/0Wpna736wwE/maxresdefault.webp,automatic,True
ofOeoyg4Pfs,Black Mirror'ın Yaratıcısından Şimdiye Kadarki En Absürd Belgesel,,1265,10m+,65,8,434107,16838,https://i.ytimg.com/vi_webp/ofOeoyg4Pfs/maxresdefault.webp,automatic,True
n4LCbWCshdw,Neden Sürekli Yorgunuz?,,1345,10m+,23,3,2337907,83367,https://i.ytimg.com/vi/n4LCbWCshdw/maxresdefault.jpg,automatic,True
stlMEXTiGV0,"Neden herkes Mars'ta Görüntülenen ""Kare Yapı""yı Konuşuyor?",,615,10m+,58,8,716602,22398,https://i.ytimg.com/vi_webp/stlMEXTiGV0/maxresdefault.webp,automatic,True
ijUPxCH_Z4w,BENNU asteroitinde yaşamın yapıtaşları bulundu! Yaşam Uzaydan mı Geldi?,,747,10m+,71,9,565161,18551,https://i.ytimg.com/vi_webp/ijUPxCH_Z4w/maxresdefault.webp,automatic,True
KbZoGw7VP5M,Yapay Zekanın Sputnik Anı! DEEPSEEK,,1116,10m+,35,5,1527825,48360,https://i.ytimg.com/vi_webp/KbZoGw7VP5M/maxresdefault.webp,automatic,True
QSNXDWZihLE,7 Gezegen Ne Zaman Hizalanacak? Şubat'ta Gökyüzünde Neler Olacak?,,1342,10m+,65,9,405251,12091,https://i.ytimg.com/vi_webp/QSNXDWZihLE/maxresdefault.webp,automatic,True
2a4alueuxmA,Apple'ın böyle bir şey yaptığına inanamıyorum! SEVERANCE,,885,10m+,56,7,597361,20093,https://i.ytimg.com/vi_webp/2a4alueuxmA/maxresdefault.webp,automatic,True
sU-Cgg2yA_c,1925'ten 2125'e: İki Asırlık Gelecek Tahminleri,,1227,10m+,47,6,784675,20942,https://i.ytimg.com/vi_webp/sU-Cgg2yA_c/maxresdefault.webp,automatic,True
KZMIPDJSXRw,Dijital dünyada adını hiç duymadığınız belki de en önemli kişi: Claude Shannon,,919,10m+,78,12,290953,10256,https://i.ytimg.com/vi_webp/KZMIPDJSXRw/maxresdefault.webp,automatic,True
jfCk_9sdXds,"Alışkanlıklarınızı Değiştirin! Zinciri Kırma 2025: Yeni Bir Sen, Yeni Bir Hayat!",,750,10m+,80,11,795333,38991,https://i.ytimg.com/vi_webp/jfCk_9sdXds/maxresdefault.webp,automatic,True
BzITvYw-vZ4,Google'ın Yeni Kuantum Çipi Paralel Evrenleri mi Kullanıyor?,,985,10m+,60,8,572151,18323,https://i.ytimg.com/vi_webp/BzITvYw-vZ4/maxresdefault.webp,automatic,True
J6RddtseuKk,DÜNYA ESKİDEN MOR MUYDU?,,839,10m+,24,4,296884,10199,https://i.ytimg.com/vi_webp/J6RddtseuKk/maxresdefault.webp,automatic,True
lNqC5_aVAXo,SORA Nihayet Çıktı! Bu Yeni Yapay Zeka Geleceğimizi Nasıl Değiştirecek?,,994,10m+,71,10,883597,23715,https://i.ytimg.com/vi/lNqC5_aVAXo/maxresdefault.jpg,automatic,True
ZIqNh-eUYP8,LOST Neden Asla Tekrarlanamayacak? | Modern Dünyanın Son Mitolojisi,,1613,10m+,67,8,1198533,31407,https://i.ytimg.com/vi_webp/ZIqNh-eUYP8/maxresdefault.webp,automatic,True
cP-EAX0__gw,EVREN DÜZ! Ama sandığınız gibi değil...,,843,10m+,39,6,730769,20727,https://i.ytimg.com/vi_webp/cP-EAX0__gw/maxresdefault.webp,automatic,True
hAN5gck5774,3x+1 = 90 YILDIR ÇÖZÜLEMEYEN BASİT İŞLEM,,993,10m+,40,7,1944138,34769,https://i.ytimg.com/vi_webp/hAN5gck5774/maxresdefault.webp,automatic,True
KKZa2NYzMHo,SILO - İlk Sezon Analizi,,1437,10m+,24,4,489773,12593,https://i.ytimg.com/vi_webp/KKZa2NYzMHo/maxresdefault.webp,automatic,True
cbOSMapWBlY,Sinemayı kim icat etti?,,1056,10m+,23,4,218596,7065,https://i.ytimg.com/vi_webp/cbOSMapWBlY/maxresdefault.webp,automatic,True
F6to3ClwEoI,Işık Hızını Geçmenin 3 Yolu,,1015,10m+,27,5,759369,25907,https://i.ytimg.com/vi_webp/F6to3ClwEoI/maxresdefault.webp,automatic,True
_W-Z5z25xyc,Kanser Neden Hala Çözülemiyor? Bilimsel Gerçekler,,1052,10m+,49,6,953098,29854,https://i.ytimg.com/vi_webp/_W-Z5z25xyc/maxresdefault.webp,automatic,True
lBZcUlD08B0,Matematiğin Mozart’ı aramızda yaşıyor!,,1171,10m+,38,4,480346,16689,https://i.ytimg.com/vi_webp/lBZcUlD08B0/maxresdefault.webp,automatic,True
rHFpfR6kZT0,Neden Artık Dünya Harikaları İnşa Etmiyoruz?,,946,10m+,44,6,1618470,39587,https://i.ytimg.com/vi_webp/rHFpfR6kZT0/maxresdefault.webp,automatic,True
MPIhUigAf9c,Hiç Kimsenin Doğru Çözemediği SORU!,,1037,10m+,35,5,467485,14715,https://i.ytimg.com/vi_webp/MPIhUigAf9c/maxresdefault.webp,automatic,True
XBWM24J5oWw,Why wasn't the NOBEL PRIZE given to Physicists this year?,,1001,10m+,57,10,401530,15821,https://i.ytimg.com/vi_webp/XBWM24J5oWw/maxresdefault.webp,automatic,True
nCca8UjfPPw,Tesla introduced its driverless Robotaxi and Robovans!,,825,10m+,54,7,421380,14532,https://i.ytimg.com/vi/nCca8UjfPPw/maxresdefault.jpg,automatic,True
62h2uHpg-Do,Europa Clipper: Güneş Sistemi'nin En Heyecan Verici Keşif Görevi Başlıyor!,,986,10m+,74,10,1201422,26039,https://i.ytimg.com/vi_webp/62h2uHpg-Do/maxresdefault.webp,automatic,True
RGx-_WHcTYI,"Çalışıyorum, çalışıyorum ama yapamıyorum!",,779,10m+,41,4,616976,29130,https://i.ytimg.com/vi_webp/RGx-_WHcTYI/maxresdefault.webp,automatic,True
tVaWO62nmjM,Mısır Piramitleri Neden Orion Takımyıldızıyla Hizalanıyor?,,1160,10m+,58,6,1049085,25659,https://i.ytimg.com/vi_webp/tVaWO62nmjM/maxresdefault.webp,automatic,True
qji-iQHeaRA,Odağını Kaybetmeden Saatlerce Nasıl Çalışabilirsin?,,925,10m+,51,5,1827705,90801,https://i.ytimg.com/vi_webp/qji-iQHeaRA/maxresdefault.webp,automatic,True
DSDF5SXROUU,Neden Bütün Dünya Haritaları Hatalı?,,920,10m+,36,5,780190,20801,https://i.ytimg.com/vi_webp/DSDF5SXROUU/maxresdefault.webp,automatic,True
JUjm4vSlw6s,26 Kez Üst Üste Siyah Gelirse Ne Olur? Monte Carlo Yanılgısı,,1031,10m+,60,11,423128,15590,https://i.ytimg.com/vi_webp/JUjm4vSlw6s/maxresdefault.webp,automatic,True
Nb5zI1_sbL0,KARANLIK OKSİJEN: Okyanus Derinliklerinde Şaşırtıcı Keşif,,960,10m+,57,6,2111959,44803,https://i.ytimg.com/vi_webp/Nb5zI1_sbL0/maxresdefault.webp,automatic,True
056_ytYysPU,Could There Be a Color We Cannot See?,,1004,10m+,37,8,531543,19693,https://i.ytimg.com/vi_webp/056_ytYysPU/maxresdefault.webp,automatic,True
x_C19quB7Oc,CYBERTRUCK ile yağmurda ilk kamp!,,2620,10m+,33,5,1619753,49676,https://i.ytimg.com/vi/x_C19quB7Oc/maxresdefault.jpg,automatic,True
dqpr4o8Z4bM,The most advanced humanoid robots of 2024,,1135,10m+,41,7,522585,15716,https://i.ytimg.com/vi_webp/dqpr4o8Z4bM/maxresdefault.webp,automatic,True
fUzZSU9wBCM,Can You Freeze Yourself and Travel to the Future?,,998,10m+,49,9,1399261,36464,https://i.ytimg.com/vi_webp/fUzZSU9wBCM/maxresdefault.webp,automatic,True
giGKlpuXdwo,Has alien life been discovered on this planet? - K2-18b,,863,10m+,55,10,827656,24210,https://i.ytimg.com/vi_webp/giGKlpuXdwo/maxresdefault.webp,automatic,True
GQEKkTug1Zk,4 Skills Needed for the 21st Century: A Summer Project,,852,10m+,54,10,280252,11490,https://i.ytimg.com/vi_webp/GQEKkTug1Zk/maxresdefault.webp,automatic,True
BwKcz1fFXPQ,Sistem 1 ve Sistem 2: Beyninizdeki Gizli Savaş,,1270,10m+,46,8,377159,12704,https://i.ytimg.com/vi_webp/BwKcz1fFXPQ/maxresdefault.webp,automatic,True
H7ygo0GMsik,Will We Be Able to Talk to Animals Soon? AI Could Accelerate It!,,1292,10m+,64,13,709403,19169,https://i.ytimg.com/vi_webp/H7ygo0GMsik/maxresdefault.webp,automatic,True
gxq6VEM8VjA,"CYBERTRUCK has arrived, first impressions!",,1839,10m+,42,5,2038083,60484,https://i.ytimg.com/vi/gxq6VEM8VjA/maxresdefault.jpg,automatic,True
2sx4UoQvres,Gelecekte herkes* bunu mu yiyecek?,,962,10m+,34,5,366667,13085,https://i.ytimg.com/vi_webp/2sx4UoQvres/maxresdefault.webp,automatic,True
SYmqNQUzueo,Apple's Intelligence The biggest AI announcements at WWDC 2024,,979,10m+,62,9,509630,16620,https://i.ytimg.com/vi_webp/SYmqNQUzueo/maxresdefault.webp,manual,True
hWLu9uUrr98,Bu yaz ne izleyelim? En iyi TV dizileri,,1917,10m+,39,8,530507,16221,https://i.ytimg.com/vi_webp/hWLu9uUrr98/maxresdefault.webp,automatic,True
HLmbb3pGBHY,Is there anything that catches your attention in this pattern?,,580,5-10m,62,10,206133,10653,https://i.ytimg.com/vi_webp/HLmbb3pGBHY/maxresdefault.webp,manual,True
ueKZc6hN024,Uzaktan Kumandayla Hayvanları Kontrol Etmek,,1021,10m+,43,5,236482,8889,https://i.ytimg.com/vi_webp/ueKZc6hN024/maxresdefault.webp,automatic,True
1AP6fDsfWxA,How Will the Universe End?,,941,10m+,26,5,914512,24342,https://i.ytimg.com/vi_webp/1AP6fDsfWxA/maxresdefault.webp,automatic,True
xuGfzIGl0ZE,That movie is becoming real: You won't believe the voice of the new GPT-4o AI model.,,1210,10m+,84,17,1312644,45891,https://i.ytimg.com/vi_webp/xuGfzIGl0ZE/maxresdefault.webp,manual,True
47eHTJIZZVg,Could giant sandworms really exist?,,754,10m+,35,5,586336,20999,https://i.ytimg.com/vi_webp/47eHTJIZZVg/maxresdefault.webp,manual,True
