id,ocr_text,ocr_word_count,ocr_char_count,has_digits,exclamation_count,question_count,view_count,log_views_per_day
0CmccJBVHUI,"~ N b se S = 9 4 , A = e, ÇALIŞIRKEN MÜZİK DİNLENİR M Mi?",16,68,1,0,1,1141704,5.744654
0Db0oQKM1tU,Td EN Sa EN m & e 8 EVDE DENEY YAPIYORUZ,10,46,1,0,0,189428,4.041497
0PlJCIcYozU,mi > < cS 9 ws ad 0 25 eh n 5? v Ji 73 Yy»,14,56,1,0,1,554025,6.307106
0PwLkj07HDY,serip m > 4) 7 Pew Hy esi Mi a at ‘Sax eek 7\ } ~ te Zi DÜNYANIN EN SIRA DIŞI MÜZİK ENSTRÜMANLARI NASIL SES ÇIKARTIYOR?,25,136,1,0,1,658996,5.212748
0V2EyWqJNZI,Gg 27 MAYIS İÇİN “GERİ SAYIM LAD yi gn,11,42,1,0,0,1051751,6.135327
0Wpna736wwE,7 PANİK YAPMA» va NA KM.,7,29,1,0,0,650733,7.102544
0e2qtcvGYZ0,"J ""A ites i i Nee | gine Ya",8,31,0,0,0,928831,6.452285
0n1hSRK0Ip0,ee,1,2,0,0,0,418786,4.697409
0zyMQr-MJDA,De oy ) ¥ DUN NIN jim N DERİ i Way uy XY Nex NX 4 fe İp -,17,72,1,0,0,2111999,7.177439
10ZtGtHhhcI,"Se =) == , S a | ya ARSİV RÜYASI",7,39,0,0,0,234015,4.248356
13Ck4tQzucQ,t »® ğ ah ——,3,15,0,0,0,415044,4.624093
16mt0mTXF7g,ie fin © is yi ii NEDEN YANIYOR?,7,37,0,0,1,1569175,6.486447
17XGzNuyT8E,> -€ ie “> KÖPEKBALIĞININ KUYRUĞUNU M,4,42,0,0,0,745175,5.962829
1AP6fDsfWxA,zu at i wv EY at SONU,7,26,0,0,0,914512,7.014089
1BM3ozlfLzo,900000 ABÜNEYE 19 SANİYE DAVETİ ELİ gli De” # = BIT.LY/ 19SANIYE > \,12,74,1,0,0,202681,4.109715
1EUEB2wW2zA,"UYKUNUN EN GÜÇLÜ ŞEKLİ KAHIUYKU OD) Ez >, e — a ——— Zz — 4 EN << 21 =",13,80,1,0,0,2130089,6.767351
1HDZVQgLLY4,di de a a di W KAN İŞİTSEL İLLÜZYONUN BİLİMSEL AÇIKLAMASI,16,64,0,0,0,2144525,6.56881
1HzfO453f24,"«> } K | YENİ BİR GEOMETRİ 441 . ŞEKİL KEŞFEDİLDİ! = 9 ID \,7— ”",13,73,1,1,0,1313065,6.104965
1KN8foDEwQs,Die 3 ree a» 40. erer f 1 Gf İSİ,11,40,1,0,0,585857,5.570416
1MZWaFdcy3Q,TEK MAKAS KESİĞİYLE BU ŞEKLİ NASIL YAPARSINIZ? CEVAP ALGORITMA YAZARAK gv,13,80,0,0,1,1019981,5.911764
1USZ5jIjra8,e > i ee ee Lj] SAHRA => yi] ee v3 OL eek GUNES = PANELLERİN KAPLANIRMIZ,15,86,1,0,0,799272,6.53158
1X1tr7ctRUg,er e NEW YORK'TA 23 NİSAN,7,27,1,0,0,1264050,5.919228
1X8vsSpE-Kw,a a] il mn a MR. ROBOT LA KURALLARI YIKMAK DAHA İYİ FOTOĞRAF ÇEKMEK İÇİN DAHA İYİ DİZİ İZLEYİN,26,99,0,0,0,537941,4.903418
1iMmenHFdCE,Lp EEE yuntaiı 30 SANİYEDE TABLO ÇİZMEK,9,42,1,0,0,624027,5.443578
1pBC0lnFbDY,> alir WU Wiis ve | a4 ele ' a. me 4 ‘gevin: BABIN a ~ ISKAMBIL KAGITLARININ ESRARI JOSTEIN GAARDER,17,112,1,0,0,64249,2.89925
1shT8RLFQT8,PR: İN SA 5 “a xy be a il Me ks a = aa Ve At Sy zi > Si eS AN. | 1 Di? “¢ ng 4 0 YAVAŞ ÇEKİM TEKNİKLERİ,31,131,1,0,1,464371,5.038297
1vGO3hSJxIE,"GEISER ""0 YILDA Hl | a TT ae aS (0 TEKNOLOJİK TREND",12,56,1,0,0,710845,6.236952
23inKSoPOsc,~~ = ÇAN HICAGO'DA. iw I İl L AŞILAŞTIM?,8,47,0,0,1,808184,6.067966
2Did_gRHz_A,"D/D [J =e a ENDEN NOIL ote BR xy > das = ea ee 5 e at 2 Eğin > # ME, rg b =| € Sis be oes ete Sal ad = = ES AY Ze iliği enez ji",33,156,1,0,0,758591,6.006387
2G7183P3a-Q,Mr BIR KAP a,4,13,0,0,0,922120,6.524342
2LJUae_KbCo,"mm nn pi 7, b kN “= Veb yf. SADE ‘Hane ELK a A ea v Tro fi N im mm v7 EN 004237 CRM, > a eg We <2 İN X ) > as } ese > vi ( N 4 Ae it ~\ ae af Ng 2-0",43,184,1,0,0,234299,7.864928
2PCD2z0NAFE,Premit File n lo Help. Rİ Clip ‘Source: (no clips) vi DERİ PREMIERE PRO EĞİTİMİ oa N 00:00: 12 00;00;00;00 Boo 00;00;00;00 |: 00:01:27:20 fre = sea = A 00:01:42:19 ED v q t qe <i > » oF Se 5 Info Effects birinci bölüm = = Project Foto Safari © Foto Safar. 00:00:00:00 00:00 00:00:30:00 (00:01:00:00 (00:02:00:00 6 — | ew 00: DEE n 2 8 2 0 iMG]ING|ING PLERİ ZAMAN Lp 6 -2 7 KL 54 ÇİZGİSİNE TAŞIMAK,103,455,1,0,0,46421,2.512748
2Wqgq407BHI,"4 GA İİ, ere anana 4 wi e Bİ mR OYUNU OYNUYORI 4",14,55,1,0,0,1597025,6.709289
2a4alueuxmA,"in” MU, ME > “PPLEİMSÖVLEİ Vaan NA",7,39,0,0,0,597361,6.94167
2fBm2iYs2d8,ue,1,2,0,0,0,84483,3.194154
2guO7TEnwmA,KO ee EN Gi. IGTV YENI ği > > *- İ YOUTUBE | (/ \ 4 OLUR MU? | MN e »| wp,15,89,1,0,1,320694,4.690477
2lPigwZnV1g,U GÜNDE 12 KITAP,4,17,1,0,0,2534972,6.876178
2qJmx9E7uX8,= a Wy —,2,10,0,0,0,113616,3.477715
2sx4UoQvres,Gelecekte Herkas* unu Yiyecek! © me”,5,39,0,1,0,366667,6.136033
2we29Gg2P08,7. a mc ağ m,5,14,1,0,0,131905,3.522029
31xYUbF3V2M,yi = = Ld om = = oat | a ği iğ” <e ». ar ak a / a =; PRODUCTION APOLLO 11 er > SCENE TAKE AYA .. ne 20 7 DIRECTOR NASA =k ERGEKTEN CAMERA BARIŞ OZCAN ; . DATE 1969 GİDİLDİ Mİ? ‘they oP .« a wy —— .—,39,237,1,0,1,6205003,7.783029
3CImvksovN8,DÜNYANIN ENÜZİN 5 = — i | ),5,30,1,0,0,1064483,6.765198
3KOwARL9Sa4,"öğ e e Ba) ey SN ty Ke. =. Ze YÜ Es d oi a N Ki Be = a oe 5 KARANLIK See 4 MADDE > x re s5 Ags Ei Aine mt - N vE. eS Be tn, F Kc 5 a BAS At ea dy f yi A",47,201,1,0,0,1135785,6.807458
3LDTgXzWKes,KILOGR IN TANIMI BEGİŞİYOR,6,27,0,0,0,1134576,5.990605
3UZJJ5COPGs,| oe yy YENI YAYIN DÖNEMİ VE İYİ BAYRAMLAR,9,44,0,0,0,46260,2.620843
3_rr9MhpKpg,ly © i= = © oe SA on 0 wy N a 21 sab 't N £5 | se MARS PARASUTUNDEKI * GİZLİ MESAJ? Lo,21,101,1,0,1,1674828,6.729516
3b5zMy-kFIs,"— YAPAY fe ADS 78 O Yaa 5 ele fal EV T PE TE = S8 Jimnastikçi 2 Alt o o> OOS OO 1 [=-===] |=) CT al Fe: ZER (8 = | —— Ga GEZ ©, ~ İİ © / { 77 gy) SHACKLETON © (yo Gİ ee a Y 745 N Zahmetsiz SG \Y DANİ A ) i, Değişim Vj a7 _~ YS ©) BTS 2 @ A. aS <> (a) SS DAN VE = kong N > e) KÜLTÜR",64,345,1,0,0,807305,8.194561
3evkMmZdp9M,100.000 1000 tay x100 . vw N Ay | Li |,9,46,1,0,0,239177,4.164724
3fNkaQBszYE,ce w REELS İZLEYEREK UYUYAMAZSİNI,7,35,0,0,0,933475,7.476248
3govhbrSRuE,— m t 4 ain emulation B SIRA Di | İNSAN MI ul vn,13,54,1,0,0,995833,8.736322
3l1I_Hwll_Y,imdi Ce; © Grigoriy Petrov BEYAZ ZAMBAKLAR İLKESİNDE Ga GRIGURIY PETROV,12,76,0,0,0,179506,3.861578
3upaIpPj8JY,4 J Ol are MİLYON AMİYON 3 MİLYON ZMİYON IMİLYON,15,56,1,0,0,1741916,6.752432
3x-sqXwyy-s,"ds ID ee = A , ‘A + IRON M AN'IN ÇEKİLDİĞİ YERE GİTTİK",15,62,0,0,0,406651,4.942507
44mAmCwk2kA,"» NE, <1 Sivrisinek Sehirde a ) hk in >. * İN SİVRİSİNEK ŞEHİRDE ERLOM AHVLEDİANI",18,92,1,0,0,62436,2.890811
45-mzhsn0Wo,a ini” SGAR CROW #CreatorsforChange,5,39,0,0,0,217222,4.214996
45Ontquians,=< by Ps ~ a 2 {| oes Tih oe ‘yt 4] iş sik yi Be | Zr > VE CA (AGTAR SEHI,18,95,1,0,0,676416,5.649876
47eHTJIZZVg,,0,0,0,0,0,586336,6.561637
4Ag90YCgBqQ,"t Cis |) st gr | ir i - > benenkalanımdaki EN DUYUK KESİT, A V mt hub p | Wobel Odu zil 4 ""Tt",21,106,1,0,0,1280229,6.396125
4AgrxE11hG0,4 7 LUI —i— ill VİN | / Nm W 0) UT. i hie N ze ilan ae,17,68,1,0,0,1004712,6.271966
4GD7fptG1TI,MOMO = VA Vit MOMO OZ “MICHAEL ENDE,7,41,0,0,0,152472,3.719941
4N7QCxlifXQ,— a” Ni = > } 4 TT GÜNÜN YAZIR MUZ 9,8,45,1,0,0,493332,5.081832
4PAPLBTnHFI,i) BLACK WIRROR A A v2. KARANLIK AYNADAN YANSIYAN KORKU,10,60,1,0,0,572756,5.102654
4RayX7iwz1Q,Zn NO E Kis. yaş —— mam,6,29,0,0,0,309451,5.754104
4THSU0om71Q,ge “ LT ge ih Mi ee ” pi di oe ‘s =i 4 et = gez SG me İİ > ii 5) RISOZCAN'LA ee a 8) Li Dow = e 4 a as nee e pa: we me > Si ?2.-BOLİ poe ~ BEYİN NASIL ÇALIŞIR?,43,200,1,0,2,664900,5.419562
4VM8tDd6naU,Creators for Change Za - vE? # ©) > =s Sse a 4 ambassadors YOUTUBE'UN SEÇTİĞİ 12 DEĞİŞİM ELÇİSİNDEN BİRİ OLDUM!,23,121,1,1,1,976314,5.602113
4_jY3kYMxYo,"İNE BU CIHAZ OGRENCILERIN BEYNINIOR il MN ; ""6 ‘ Ny — NN A Ed",13,70,1,0,0,698973,5.649729
4g3XaR35m04,m | I YU v = a ime 3,7,26,1,0,0,744210,5.709403
4nHjhfWap4k,i | | =| a I ’ SEATTLE IN UGA DAİRESİ,8,42,0,0,0,433122,5.472554
4wVfT6K9m04,SATURN’ ÜNİ HALKALARINN ue VIDEOSUNU CEKTIM,6,45,0,0,0,1842062,6.565308
53t3Rl-Jm2Y,kk. Ni 2 oF im. - yi . kona] ieee Eğitin,9,45,1,0,0,371935,6.05005
56vxGr_TOiE,Wied: RYUGU a — xw Şi a i ~ y KAYABUSA2. ASTEROID MADENCİLİĞİ BAŞLADI,14,80,1,0,0,1017356,5.867233
59bevAZqcEs,"—= —_ ee e772 gi be 43 vill ta AMANLARI pil 9M70TU NA YA KALA NDIK! KASIRGASI <Z YILIN 28 Aa, = = eo > gi iy ty üne nod ayl S4 a, de NR Vİ",32,166,1,1,0,547780,5.565867
5EXKsagW7H4,bm y < dk 7) “e Karadelife ol) a 4). AS a NA EN NN ) >,14,67,1,0,0,487118,5.996253
5L-lRcg4TTY,"pr Sl ee Most pecent Gil b = wv, AN (25) a 1 N mission:iss VASSAL Yy Bob EAT A N hi ir poe | PRESS ie GERCEKLIK eS SANAL +3 iy bi ae ae ei",35,171,1,0,0,1598970,6.43365
5MJvo0UV924,"ly /, 77",2,10,1,0,0,852051,6.337969
5_WKK7CkpiA,* oe \ v IRIRSAK-. pe) Ab — de I} gı a — aw a= “> Fİ A.A. Devrimi i Sy BE WA. Gs,20,100,0,0,0,601428,6.221477
5guS-TtJq9Y,A 'UN DİBİ?,4,12,0,0,1,1711785,6.284321
5mWFnL3xs9w,"7 DU NİN EN Zi NGIN a aN RININ ""ai BU KITAPLARLA Su vi DERDİ NE? eye eS 7S 7 Wek... g »/",23,105,1,0,1,2862668,7.084046
5u79w4DTDjI,ör +. ae — = yy BU VIDEO YEMEK TARİFİ YA DA REKLAM İÇERMEZ IKEA ETKİSİYLE HAZIR KEK YAPMAK,20,97,0,0,0,517383,5.060918
5uIl38UFVh0,"2019'DA ‘Ol Oy ay ZİNCİRİ KIRMA Ay WF ZN g a SD A a q O ke le 4 YA WA WY A) ho” >” © gi öd ee, <> ws",30,128,1,0,0,1413189,6.224539
62h2uHpg-Do,Zi Ke Nİ 4 i ik e (4 — vs ydi e 0 7 “ i ZN 7 — Dİ YORUZ! “ UZAYDA YAŞAMI BULMAYA 6,22,103,1,1,0,1201422,7.47309
6C0ksTO_0pQ,yy” va 4 Foucault'yu | N İİ Nİ Pat ncker dizi Ğ 1-1 | i PAS FOUCAULT YU SAYIKLAMAK re ES,21,104,1,0,0,210865,4.07743
6Is9Hc8R97U,# —) _ ev MN NUE Mi 7 BT e eae,9,40,1,0,0,5040732,7.720615
6N-r4492zws,"N . N Artemis Il Aya Gidiyor Nİ ga, 2.GÜN ÖZETİ",11,53,1,0,0,84701,6.421257
6Nf6YJTKbeM,= — we — = 1 NASIL Bİ KAFA? =r ~ Ze sien — wg < de. v IN Fic. % V,14,82,1,0,1,542751,7.573708
6PiX-sGNFLM,"gp ANTAR » 4, aad % cs Gİ “e — 3 rss ce a5. ory ota ii ae ME TAE me i j İF OLDU?",23,102,1,0,1,1122122,6.96471
6ROS5Cn92cg,Baek | ger 8 a I | | | | | 1] I] we! ag msg > ağ MN J bs eği ay < BS m wor Pasa a ae = | oer me ue Bi: ee >> ZU TİKSİ UYU A pe. aU,34,164,1,1,0,299173,6.69651
6WCjer_Fmsk,ME = oes we 10 98 => €- — Mr ho Ai NA uh \ 13 SAYISI UĞURSUZ MUDUR?,14,79,1,0,1,4152604,7.188024
6eSXsZ7ksmE,Jam \. ae Si çi pH MN SURE ALANI 2 86 OND PİLLER Mi GELİYOR? NANO DIAM “ws TAS U,21,91,1,0,1,1474422,6.520926
6nupxl23oeU,d y — | KK 4 m — 28 K6 TEENA . BIR UZAY ÜLKESİ ASGARDIA,12,64,1,0,0,1053288,5.876952
6oUUkdGMYDs,"Do you believe in magic? = e\ t ge im) mT, Se = Ws OG We” aN > = uC / 23N İSAN'DA SİHİRLİ BİR KALEM",25,116,1,0,1,522830,5.152543
6uIt4f38TdQ,"ss ss s ®& oe eee i> Ne “solopreneut’ id | , Ft ete =",11,61,0,0,0,443068,6.839235
7AW4dTcgyRk,". Le, 23 EKİM'DE",4,18,1,0,0,909600,5.901056
7AWY4br91mk,TELEFONLARIN 2 YAPAMADIĞI NEVİ YAPIYOR? Üz,6,46,1,0,1,729092,6.000953
7BSHnfzCPuo,vw gr YA ane | ll ul IHL aT? 2,9,37,1,0,1,2848477,7.841604
7DFs2WifolI,"ül > KE Ae, WAY ae se ii e UK Wi, e at I Pp eo pos ii ne A ei on = RE 5 MT, İZ Ğİ ie. Em SS DE, reo; kG a Mz“ yi çi 1 ZMİR, dar Had op BSS, ote",45,185,1,0,0,265897,5.585867
7HERFTSaBcU,İLK i | | b> ihe kore 2.Bölüm = LL Dijifal bir Kent,12,57,1,0,0,733010,5.708485
7PGLODg3Xg4,"DÜNYANIN fq EN GERÇEKÇİ > İNSANSI ROBOTU LI aA La lf, As i | | Fed ea",15,82,0,0,0,1429886,6.724809
7Qzz8pgbYFo,RÜYA * y im €.- (Pes,4,24,0,0,0,317837,6.684093
7USqEZWi308,Te 7 es V / YUKARI Yi BAKMA!,7,33,1,1,0,1660925,6.890827
7VLdm-aOkTQ,"wat ct Vr er ey \& 4 , a Macui ee JERRY MAGUIRE (1996) YENİ BİR BAŞLANGIÇ - İZLE",18,85,1,0,0,160424,3.810155
7aF62RtiRm0,"ip 7 A ISS gi, o es a, Ne a ae İm ME İKİNGİ UZAY İSTASYONU",20,68,1,0,0,639399,5.802928
7b9pzxZBlbs,"a x, —— Mİ 3 * Zs e = of # d x ae BARISOZCANLA ee, # ET g as 3. LO ak VAZGEÇTİM!",20,101,1,1,0,487633,5.115813
7bv-LaRgFM0,@ - SS yyl NU \ ENR or,5,28,0,0,0,240787,6.839779
7m50hJglZs8,> A Ee aD e er ASARISIZ SK Lee ry IRISIM 4 aie ZG 4 en hes 7 KASIRGAL DURDURULABİLİR Mİ?,22,106,1,0,1,979465,5.831806
7oL2xEQwwng,Amin Maalouf Semerkant Al + tf if of SEMERKANT AMIN MAALOUF,10,67,0,0,0,130769,3.572204
7qKWkJmsC_A,"fy >: SY Giy UÇAN, ARABALAR",5,31,0,0,0,486519,5.130224
7uHP-WoNqgw,oe GÖRÜNEN ADAMIN GÖRÜNMEYEN DÜNYASI,5,37,0,0,0,368826,4.700693
7zqn_kYKc9E,— NEDEN adi | YÜZÜMÜZE DOKUNMADAN DURAMIYORUZ: ? y°,6,59,0,0,1,1066279,6.132107
84Q__dx_G4w,odie GUNES Hl “iğ UU ie N N,8,32,0,0,0,3406393,7.552277
85lCYvfaGtg,Ri Ni Woy | | İ | İli | | ii V : \ KNB | ir SS 1) +i 1 KUANTUM USTUNLUGU | \ YENİ BİR ÇAĞIN BAŞLANGICI MI? Ul ],23,136,1,0,1,1368277,6.311244
89jx0SaPnks,vi e = TANT p iT Lp,6,24,0,0,0,444759,6.269031
8AL8C1SXRlw,JAPONLARLA BIZIM EVDE aay 1} LES İNSTAGRAM STORY ANONSU YAPMADAN OLMAZ -) İV TEVİZ!,16,89,1,1,0,402084,4.87358
8AxqvEpTOKc,— N ai NN \ © . az / 4 v.,6,34,1,0,0,93088,3.29377
8Ca7jkZzC9o,ŞU DÜĞMEYE BASINI e,4,20,0,0,0,1980983,6.323383
8QOE7g7D9J8,"ga >, EN .— NEDEN ELEKTRİKLİ OTOMOBİL ALDIM?",8,47,0,0,1,3041427,6.997467
8Xv-Zo_3bCQ,TE yal yi gi EK LAN (5 ye. m —/ m: wi” ul AD KLE ENDIS! W lele > 4 ye,19,88,1,1,0,1195900,7.248709
8YQQRnlfHWE,Source: WVIL6SS5.MOV¥))x| Effect C ols er ET PREMİERE PRO EGİTİMİ De » ip AY in [ ay ii iy & rt in 7 ri Sy We We bi. ip we 7 || n İğ) 74 00:00:08:18 Fit a) fe) Bk Ea TA 00:00:07:16 |: 00:00:16:06 Fit = ip A 00:00:17:24 9 : LİNE = = qe <i » oF = E m + Li q t te <i > » > e ani + = birinci Bolom » = Bin: MOV 5 se ers N PA Foto Safa rprojiMGV. 17 tems 00:00:08:19 00:00:05:00 00:00:10:00 00:00:15:00 tn: TAN = ae. ew 22 ty Opacity = [MUL 6546.MOV İV) Opa MAN ÇİZGİSİNDE 16 ZAM “KLİPLERİ IKIVE BOLMEK | ‘erwrite. Use Cmd to enable insert. Use Opt to replace dip. Use Shift to pin to a track.,149,674,1,0,0,26417,2.008565
8ZKt5U3v-9I,) ba ae = » mr ii. J y N pa. ¥,8,38,0,0,0,157398,3.741996
8bYUa4U8r6s,> e ARKADAKİ ODA,3,18,0,0,0,451227,8.702404
8dOdIN_E8fo,Ly jh Li = ww 2 . E EE T y Mt Fj LN,12,47,1,0,0,1749534,6.932173
8fBqeqBOsGA,ANIK'E DALAN DENIZALTIYA NE OLDU?,5,34,0,0,1,3835814,8.107473
8gCsL2FI8u8,Saatleri Ayarlama e Enstitüsü dereah yayınları roman Ahmet Hamdi Tanpınar | {36 A ob EF: = SAATLERİ AYARLAMA ENSTİTÜSÜ — 5 Oe AHMET HAMDİ TANPINAR,23,158,1,0,0,175553,3.825681
8rWPtAto2zc,"Le di ——— © Wea = eS i vy İle Jr! if] iil ==, | fa",12,63,0,1,0,2731323,7.117649
8vkDTYo9oS0,Insan Manzaraları N MEMLEKETİMDEN İNSAN MANZARALARI W NAZIM HİKMET,12,69,0,0,0,59219,2.784286
8ywsjyr-fow,@ | Çin NASIL “VİDEO HAZIRLIYORUM?,5,37,0,0,1,1686211,6.267115
9BV-hS0GYaU,"Ww PMS / a, | | Tİ + — EN GARIP ji",7,41,0,0,0,1308088,6.502839
9FzsLFfooCQ,"ba 4 İK” # 3 Z | ‘GUN ÖZETİ EN ft 1 Aq | ""¢",12,54,1,0,0,51683,5.972633
9JFY01TFWCo,"Pre re Pro File cli Marker Title indow di Project Sequence Help İm Sequence Presets Settings ‘Available Presets ~ PREMIERE PRO EĞİTİMİ Gi ARRI For editing Sony XDCAM EX formats recorde HQ mode, 16:9 interlaced HD video at 25 frames per second. Gm AVC-intra 48ktH2 audio. fam avcHD (ii Canon xF MPEG2 Gt Digital LR im DV — 247 fm Dv - NTSC cs6 fi DV PAL. DEMO, ffm DVCPROSO ‘General Editing mode: Sony XOCAM EX 10801 (HO) Acrobal i DVCPROHD. Timebase: 25.00f9s Desktog Gm HOV Gr Mobile & Devices Video Settings Dropbo} Frame size: 1920h 1080v (1.0000) fim RED R3D Frame rate: 25.00 frames /second Downloj Gia KOCAM EK Pixel Aspect Ratio: Square Pixels (1.0) Fields: Upper Field First All My. v Gm 10801 ‘Audio Settings AirDrog Bi x0cAM ex 1080150 0) ‘Sample rate: 48000 samples second, Applicat Bi x0cam x 1080150 6) Bh 0040 EK 1080160 40) Default Sequence Movies) Total video tracks: 3 Boca ex 1090160 6 Master track type: Stereo Music » fm 1080 ‘Audio Tracks: ‘Audio 1: Standard 9 Picture > fi 7205 S Sa Audio 2: Standard din EMERE PRO PROJE g PR DOSYASINI OLUŞTURMAK Ni",195,1147,1,0,0,138776,3.552413
9NNMjxw4GpI,ği,1,2,0,0,0,174208,4.139222
9RIwBLjZg7E,"Po e 9 MW, Oty 99 9 99 ? Re» cp Va Ai * ES BNE >",14,59,1,0,1,771080,6.015248
9XpZcVRoZu0,im — IRIBIZI NA TLİYOR! >. # SN ji aN fa SİN,11,55,0,1,0,602481,6.237498
9ZSZRKPD3_A,"vi” tae iz a a si çı la te > k- 7 i i ks . N ea * N. yi | Di . vw Mb, SS Bi",23,102,1,0,0,2069973,9.384075
9dMSKvFMLm4,—N oR Gy Mavi?,4,15,0,0,1,203618,8.292426
9egXpK9cToE,Ça £ Os ra,3,13,0,0,0,207873,3.616029
9htA990fPJI,001 B j > | » U Y | | as af < pend! a — ~ ~~ ci ~~ © Ree i ) > m — yi ——\ ye lie © Mi İm m a Ge — vE. > <p,24,136,1,1,0,1282279,6.611933
9r2ZJhJ8zCE,valla 2 ul ica Ae pe TAM 56 YLDR ÇEKİYOR VE MUHTEMELEN HİÇ İZLEMEDİNİZ! A — —,20,83,1,1,0,1793079,6.531883
9t99oHOYVBw,"Dir SS N Sy ey KR < 45 2 SS ‘oS <2, Y r } q BUR Tİ | A | rağ ERESİN” e >",21,94,1,0,0,830044,5.966983
A0CF_8ttMqE,"i we CİA a mmm => ae! > vin, | HAVADAKİ G A",11,52,0,1,0,569276,6.223248
AA-fp-BLCa4,"İNSANLIK me il Ge Pi e ""AN YÜKSEK SESİ”",10,43,0,0,0,2043189,6.941148
ADNdyWcOrIU,VY Ç 2019'DA YÜKSELECEK 6 TEKNOLOJİK TREND,8,44,1,0,0,933963,5.812811
AFYR_0DQmlc,"Lf cht 7” =) | 2:d 4 l0 I HELE To BE o NOT at $ the Şi DUM, 17] da-DY,",20,80,1,0,0,331198,7.605024
AJNDOhrTBsg,2 2) DÜNYANIN EN POPÜLER EMOJİSİ,7,33,1,0,0,283051,4.40798
AKzPC88Y_aA,pe İNİ ‘en GE İNSAN,7,22,0,0,0,1103730,6.184777
ASSkTjEat9U,"Gok Amaçlı Sensör « Ay Pencere açıldı » ai EVİMİZİ NASİL gi A } : si Piiz » L! Aa 4) eli > e AKİLLNEN, 20 Be sam yor HALİNE GETİRDİK: Co) LP sy eaeeg Su Sizintisy Siren 4“ flareket ag Eas fh» Se as es Yaralar SE. \ Sensörü a 4 Lİ A ia 4 EV Til fea IH ZN",61,291,1,1,0,864218,5.877152
A_IMnGvaWtE,3 art a M arial 4 SENİN YAZI TİPİN NE? DÜNYANIN EN ÖNEMLİ FONTLARI w,18,74,1,0,1,618400,5.031518
AfJEHJxfHBM,"fy ek a) ğ a i it ‘i f fy .> Ap >> es, G NS",14,58,0,0,0,1102155,6.440737
AkULvwJRD6A,L ae W > PENGUENLER oi İNSANLARI GIB KONUSU YOR! N,11,54,0,1,0,1010082,6.051364
