id,title,upload_date,caption_source,duration_seconds,word_count,sentence_count,words_per_sentence,syllables_per_word,atesman_readability,readability_label,msttr_500,question_marks_per_1k,exclamation_marks_per_1k,profanity_per_1k,intro_word_count,intro_question_marks,intro_hook_type,intro_curiosity_per_1k,outro_word_count,outro_cta_per_1k,view_count,log_views_per_day,curiosity_per_1k,uncertainty_per_1k,analogy_per_1k,emphasis_per_1k,story_per_1k,direct_address_per_1k,first_person_per_1k,call_to_action_per_1k
U_aCfJ4dc5U,Premiere Pro Eğitimi 27 - Ses mikserini kullanmak,20150605,automatic,272,388,1,388.0,2.690722,0.0,çok_zor,0.623711,0.0,0.0,0.0,155,0,surprising_claim,0.0,104,38.461538,28021,2.059801,0.0,0.0,10.309278,10.309278,0.0,10.309278,7.731959,33.505155
WTS8tH9VEG8,Premiere Pro Eğitimi 38 - Efekt hazır ayarları,20150605,automatic,138,235,1,235.0,2.846809,0.0,çok_zor,0.689362,0.0,0.0,0.0,156,0,surprising_claim,0.0,168,0.0,30165,2.124427,0.0,0.0,8.510638,8.510638,4.255319,4.255319,0.0,8.510638
WuxlC5jXoq0,Premiere Pro Eğitimi 01 - Çekim dosyalarının organizasyonu,20150605,manual,177,197,4,49.25,2.908629,0.0,çok_zor,0.756345,0.0,0.0,0.0,103,0,surprising_claim,0.0,101,9.90099,282496,4.24853,0.0,0.0,10.152284,15.228426,0.0,5.076142,30.456853,25.380711
Ym3DwNJjKio,Premiere Pro Eğitimi 15 - Zaman çizgisinde klipleri düzenlemek,20150605,automatic,185,319,1,319.0,2.642633,0.0,çok_zor,0.592476,0.0,0.0,0.0,150,0,story,0.0,169,11.83432,27819,2.053491,0.0,0.0,12.539185,3.134796,18.808777,12.539185,6.269592,18.808777
_SuOMEy67qI,Premiere Pro Eğitimi 24 - Ses ve müzik seviyesini efekt kontrolleri panelinden ayarlamak,20150605,automatic,220,302,1,302.0,2.761589,0.0,çok_zor,0.672185,0.0,0.0,0.0,140,0,surprising_claim,0.0,121,24.793388,62553,2.789888,0.0,0.0,13.245033,3.311258,6.622517,9.933775,13.245033,16.556291
_n286ZRKsnw,Premiere Pro Eğitimi 09 - Videoların sadece istenen bölümlerinin seçilmesi,20150605,automatic,192,267,1,267.0,2.925094,0.0,çok_zor,0.71161,0.0,0.0,0.0,141,0,story,0.0,118,33.898305,45471,2.493762,0.0,0.0,7.490637,26.217228,3.745318,7.490637,0.0,14.981273
ePc4nRcRwrI,Premiere Pro Eğitimi 04 - İçeri aktarılamayacak dosyaların önceden dönüştürülmesi,20150605,automatic,171,224,1,224.0,2.857143,0.0,çok_zor,0.745536,0.0,0.0,0.0,121,0,surprising_claim,0.0,121,41.322314,75227,2.96398,0.0,0.0,8.928571,8.928571,4.464286,8.928571,4.464286,26.785714
glSbguyxyU8,Premiere Pro Eğitimi 31 - Yazı oluşturmak,20150605,automatic,283,380,1,380.0,2.95,0.0,çok_zor,0.726316,0.0,0.0,0.0,136,0,surprising_claim,0.0,118,0.0,29413,2.102232,2.631579,0.0,5.263158,2.631579,13.157895,13.157895,5.263158,2.631579
gvPnxlg1QAU,Premiere Pro Eğitimi 33 - Geçiş efektlerini uygulamak,20150605,automatic,286,469,1,469.0,2.680171,0.0,çok_zor,0.584222,0.0,0.0,0.0,164,0,question,12.195122,132,7.575758,46252,2.509397,4.264392,0.0,4.264392,4.264392,6.396588,14.925373,2.132196,4.264392
jK_6BA18w8o,Premiere Pro Eğitimi 41 - Montajlanmış görüntülerin dışa aktarımı,20150605,automatic,321,469,1,469.0,2.808102,0.0,çok_zor,0.682303,0.0,0.0,0.0,123,0,question,16.260163,140,7.142857,91347,3.148986,6.396588,2.132196,10.660981,4.264392,4.264392,19.189765,10.660981,10.660981
kwxskU5V8VM,Premiere Pro Eğitimi 08 - Klipleri kaynak panelinde incelemek,20150605,automatic,101,133,1,133.0,2.81203,0.0,çok_zor,0.819549,0.0,0.0,0.0,125,0,surprising_claim,0.0,121,8.264463,45430,2.492935,0.0,0.0,0.0,0.0,0.0,15.037594,0.0,7.518797
nnyjrnhlYcc,Premiere Pro Eğitimi 25 - Ses ve müzik seviyesini zaman çizgisinde ayarlamak,20150605,automatic,263,423,48,8.8125,2.742317,65.6518,orta,0.583924,0.0,0.0,0.0,145,0,surprising_claim,0.0,151,13.245033,68644,2.877341,0.0,0.0,21.276596,0.0,0.0,9.456265,9.456265,16.548463
qKkJNIm7A5w,Premiere Pro Eğitimi 11 - Kliplerin en başına ve en sonuna ilerlemek,20150605,automatic,135,231,16,14.4375,2.519481,59.923,orta,0.623377,0.0,0.0,0.0,152,0,direct_address,0.0,164,0.0,37339,2.314555,0.0,0.0,0.0,0.0,0.0,4.329004,4.329004,4.329004
rleMK7fPXOQ,Premiere Pro Eğitimi 19 - Video ve ses kanallarını kullanmak,20150605,automatic,135,211,18,11.722222,2.720379,58.9388,orta,0.691943,0.0,0.0,0.0,140,0,surprising_claim,0.0,141,21.276596,27532,2.044457,0.0,0.0,28.436019,0.0,4.739336,0.0,18.957346,14.218009
s428HFZIqvI,Premiere Pro Eğitimi 05 - Proje panelinde organizasyon,20150605,manual,212,309,14,22.071429,3.035599,19.2634,çok_zor,0.699029,0.0,0.0,0.0,135,0,surprising_claim,0.0,131,7.633588,62398,2.787559,0.0,0.0,6.472492,3.236246,9.708738,35.598706,6.472492,6.472492
vUwzvz4piHY,Premiere Pro Eğitimi 10 - Videoları kontrol etmek için JKL tekniği,20150605,automatic,308,525,39,13.461538,2.619048,58.4701,orta,0.729,0.0,0.0,0.0,149,0,surprising_claim,0.0,172,40.697674,46948,2.523126,1.904762,0.0,1.904762,9.52381,3.809524,1.904762,0.0,20.952381
w2U1fkPRzj8,Premiere Pro Eğitimi 06 - Yeni bir sekans oluşturmak,20150605,automatic,215,330,24,13.75,2.878788,47.2822,zor,0.7,0.0,0.0,0.0,151,0,story,0.0,143,20.979021,63932,2.810367,0.0,0.0,6.060606,12.121212,6.060606,6.060606,27.272727,18.181818
wiwsmlZOjoc,Premiere Pro Eğitimi 18 - Videolar arasına yeni klip eklemek,20150605,automatic,158,256,21,12.190476,2.699219,58.5667,orta,0.664062,0.0,0.0,0.0,138,0,surprising_claim,7.246377,159,12.578616,29637,2.108895,3.90625,0.0,3.90625,3.90625,0.0,0.0,3.90625,15.625
x3v8ZGkxpC4,Premiere Pro Eğitimi 32 - Kayan yazılar oluşturmak,20150605,automatic,235,339,33,10.272727,2.764012,60.969,orta,0.669617,0.0,0.0,0.0,138,0,question,7.246377,141,35.460993,42801,2.438389,2.949853,0.0,5.899705,17.699115,11.79941,5.899705,5.899705,41.297935
xw-hg3aW06M,"Premiere Pro Eğitimi 29 - Görsellere yakınlaşma, uzaklaşma",20150605,automatic,310,484,40,12.1,2.878099,51.6164,orta,0.632231,0.0,0.0,0.0,159,0,question,6.289308,127,7.874016,37471,2.317736,2.066116,0.0,20.661157,6.198347,6.198347,14.46281,20.661157,10.330579
zyc7_gY0LkI,Premiere Pro Eğitimi 40 - Elle çekilen kamera görüntülerini düzeltme,20150605,automatic,165,283,20,14.15,2.798587,49.4603,zor,0.689046,0.0,0.0,0.0,165,0,surprising_claim,0.0,157,25.477707,46683,2.517921,0.0,0.0,21.201413,0.0,10.600707,3.533569,7.067138,28.268551
ROei7BGrqCk,Apple Watch Alalım mı? Almayalım mı?,20150614,manual,464,948,77,12.311688,2.701477,58.1597,orta,0.701795,7.383966,1.054852,0.0,196,5,question,5.102041,181,16.574586,607126,5.008121,6.329114,2.109705,10.548523,9.493671,10.548523,14.767932,21.097046,6.329114
AlQWHW_anyg,"İş Dünyasında Yaratıcılık, Creativity Inc.",20150628,automatic,397,673,1,673.0,2.677563,0.0,çok_zor,0.744295,0.0,0.0,0.0,121,0,surprising_claim,0.0,164,24.390244,148452,3.623427,5.943536,1.485884,2.971768,5.943536,1.485884,7.429421,14.858841,11.887073
A_IMnGvaWtE,Senin Yazı Tipin Ne? Dünyanın En Önemli Fontları!,20150705,manual,454,832,122,6.819672,2.674279,73.5865,kolay,0.692518,4.807692,2.403846,0.0,152,1,question,6.578947,170,17.647059,618400,5.031518,6.009615,1.201923,4.807692,8.413462,2.403846,14.423077,2.403846,4.807692
FkpG_We-G9g,"Plüton ve Sonrası, 248 yıl sonra nerede olacağız?",20150712,manual,243,471,35,13.457143,2.462845,64.7571,orta,0.677282,12.738854,2.123142,0.0,194,4,question,10.309278,168,11.904762,625537,5.044631,8.492569,0.0,2.123142,6.369427,14.861996,12.738854,33.970276,4.246285
LoxRCb95-Gs,"Gerçek Jenerik, 90 saniyede anlatılan hikaye",20150717,automatic,290,485,1,485.0,2.63299,0.0,çok_zor,0.715464,0.0,0.0,0.0,155,0,question,12.903226,151,19.86755,163868,3.724277,4.123711,0.0,26.804124,12.371134,18.556701,18.556701,24.742268,6.185567
FgSAUJ1xZJ8,"Matrix'ten 9 kompozisyon kuralı, daha iyi fotoğraf",20150726,manual,470,835,82,10.182927,2.797605,59.8538,orta,0.704149,10.778443,5.988024,0.0,181,4,question,11.049724,154,38.961039,902690,5.412861,3.592814,0.0,7.185629,7.185629,2.39521,17.964072,16.766467,7.185629
OJqfEiJh2fU,En iyi tatil nasıl yapılır?,20150802,automatic,365,696,1,696.0,2.593391,0.0,çok_zor,0.732204,0.0,0.0,0.0,173,0,question,5.780347,169,17.751479,122195,3.442859,8.62069,0.0,5.747126,4.310345,11.494253,15.804598,15.804598,8.62069
Q8hqyfbec9Q,Tek mi çift mi? Zaman yönetimi tekniği,20150809,manual,350,655,68,9.632353,2.561832,70.763,kolay,0.740258,21.374046,3.053435,0.0,184,9,question,0.0,152,32.894737,963090,5.480803,7.633588,1.526718,4.580153,6.10687,9.160305,22.900763,22.900763,7.633588
1X8vsSpE-Kw,Mr. Robot'la kuralları yıkmak,20150816,manual,364,669,74,9.040541,2.693572,67.0149,orta,0.762367,5.979073,0.0,0.0,167,1,question,0.0,165,18.181818,537941,4.903418,4.484305,1.494768,10.463378,7.473842,13.452915,13.452915,14.947683,4.484305
2we29Gg2P08,Summer 3 - Vivaldi'den yaz fırtınasının çağrısı,20150823,automatic,358,333,1,333.0,2.717718,0.0,çok_zor,0.765766,0.0,0.0,0.0,117,0,surprising_claim,0.0,70,14.285714,131905,3.522029,6.006006,0.0,18.018018,9.009009,12.012012,6.006006,30.03003,9.009009
xCQDLuEsKNE,80/20 kuralı,20150830,manual,215,367,42,8.738095,2.555858,73.337,kolay,0.711172,8.174387,0.0,0.0,155,1,question,0.0,153,13.071895,495953,4.826238,0.0,0.0,0.0,16.348774,5.449591,21.798365,13.623978,5.449591
FL0CMvwXPlM,Google'ın yeni logosu,20150906,manual,315,625,58,10.775862,2.6672,63.5452,orta,0.759,19.2,4.8,0.0,177,6,question,22.59887,175,11.428571,362894,4.518531,11.2,1.6,6.4,6.4,3.2,14.4,9.6,3.2
Qt24I5cyClE,Kalem klavyeden keskindir,20150913,automatic,706,866,1,866.0,2.642032,0.0,çok_zor,0.700656,0.0,0.0,0.0,142,0,question,7.042254,11,0.0,221671,4.034258,2.309469,0.0,6.928406,8.083141,5.773672,12.702079,18.475751,8.083141
E4Ttfob3_Bs,Gölgelerin gücü silüetler,20150920,manual,306,475,42,11.309524,2.884211,53.434,orta,0.751579,2.105263,4.210526,0.0,163,0,surprising_claim,0.0,107,37.383178,197575,3.923058,2.105263,0.0,14.736842,2.105263,12.631579,18.947368,14.736842,10.526316
Lw-xYNf1AUk,Yeniden Düşün,20150927,manual,380,706,73,9.671233,2.654391,66.9429,orta,0.70965,14.164306,2.832861,0.0,172,0,surprising_claim,5.813953,179,11.173184,788924,5.29442,4.249292,2.832861,4.249292,1.416431,5.665722,9.915014,15.580737,4.249292
NdP3Wt7bAEw,Geleceğin müziğini geçmişin gözlerinde görmek,20151004,automatic,673,769,1,769.0,2.648895,0.0,çok_zor,0.769487,0.0,0.0,0.0,107,0,story,0.0,46,0.0,116900,3.415219,1.30039,1.30039,5.20156,0.0,10.403121,18.205462,7.802341,1.30039
QLGpyP0SHu8,Dünyanın en ünlü tablosu,20151018,manual,368,226,24,9.416667,2.535398,72.3879,kolay,0.769912,30.973451,0.0,0.0,162,5,question,30.864198,0,0.0,1178584,5.699431,22.123894,4.424779,4.424779,0.0,0.0,13.274336,39.823009,4.424779
JyEPcNUN1jI,Geleceğe Hoşgeldiniz,20151021,manual,416,1054,20,52.7,1.673624,0.0,çok_zor,0.613778,10.436433,3.795066,0.0,193,5,question,0.0,224,0.0,386231,4.591393,0.0,0.0,0.0,0.0,0.0,1.897533,0.0,0.0
P9Ya-AJvApc,Kasımda Roman Yazmak Başkadır,20151025,automatic,299,629,7,89.857143,2.484897,0.0,çok_zor,0.725597,0.0,0.0,0.0,175,0,surprising_claim,0.0,200,25.0,109872,3.360432,6.3593,0.0,9.538951,0.0,9.538951,12.718601,14.308426,11.128776
Ovwn1m12Soc,Mavi hap mı? Kırmızı hap mı? Yapmak zorunda olduğumuz seçimler,20151031,manual,300,492,62,7.935484,2.682927,70.3268,kolay,0.719512,16.260163,2.03252,0.0,141,1,question,0.0,119,8.403361,306475,4.365227,0.0,2.03252,8.130081,6.097561,14.227642,16.260163,10.162602,2.03252
oT6wq5Y9lcg,Açık kaynaklı evler,20151108,manual,332,686,68,10.088235,2.626822,66.9621,orta,0.709409,4.373178,0.0,0.0,194,1,question,0.0,189,21.164021,124826,3.487308,1.457726,1.457726,8.746356,1.457726,5.830904,7.28863,13.119534,7.28863
qjCU1gsbElc,OKU,20151113,manual,230,422,54,7.814815,2.516588,77.3244,kolay,0.732227,0.0,0.0,0.0,179,0,question,16.759777,150,13.333333,157603,3.715326,7.109005,7.109005,7.109005,0.0,14.218009,9.478673,37.914692,9.478673
x8Z7Vrgp890,Dünyanın en ünlü aslanı,20151115,manual,480,932,99,9.414141,2.472103,74.9374,kolay,0.684954,6.437768,17.167382,0.0,187,1,question,0.0,120,41.666667,611870,5.05403,6.437768,2.145923,0.0,2.145923,8.583691,15.021459,25.751073,8.583691
exsCC1_jHIw,Küçük Prens - OKU,20151119,automatic,236,448,1,448.0,2.439732,0.0,çok_zor,0.613839,0.0,0.0,0.0,153,0,surprising_claim,0.0,178,11.235955,422599,4.687798,0.0,0.0,2.232143,8.928571,20.089286,11.160714,6.696429,6.696429
W0km479c1gQ,Sessizliğin sesindeki beyaz boşluk,20151122,manual,489,803,90,8.922222,2.506849,74.8253,kolay,0.718838,16.18929,4.98132,0.0,151,0,surprising_claim,0.0,171,0.0,429153,4.703804,1.24533,2.49066,11.20797,1.24533,3.73599,47.32254,11.20797,0.0
DeLny1x-wZA,Cesur Yeni Dünya - OKU,20151126,manual,185,338,11,30.727273,2.721893,9.2747,çok_zor,0.751479,0.0,11.83432,0.0,151,0,surprising_claim,0.0,179,22.346369,174260,3.816703,0.0,0.0,5.91716,8.87574,2.95858,11.83432,11.83432,11.83432
Tf3r741RO-w,Daha iyi görmek için... Çizin!,20151129,manual,364,541,39,13.871795,2.634011,56.7982,orta,0.768634,33.271719,11.090573,0.0,110,5,question,9.090909,104,0.0,382317,4.591117,12.939002,1.848429,1.848429,7.393715,11.090573,18.484288,20.332717,3.696858
8gCsL2FI8u8,Saatleri Ayarlama Enstitüsü - OKU,20151203,manual,319,393,38,10.342105,2.475827,72.3658,kolay,0.740458,15.267176,7.633588,0.0,202,5,question,4.950495,0,0.0,175553,3.825681,7.633588,2.544529,5.089059,0.0,2.544529,17.811705,50.890585,0.0
F-FX75lfxrU,Star Wars / Yıldız Savaşları - Hiç Bitmeyecek Bir Hikaye,20151206,manual,629,1057,132,8.007576,2.630085,72.2616,kolay,0.803123,5.676443,3.784295,0.0,168,0,surprising_claim,0.0,128,31.25,548863,4.95141,2.838221,0.946074,13.245033,2.838221,17.975402,5.676443,10.406812,4.730369
n0NkWKCbvpI,Ermiş - OKU,20151210,automatic,247,416,1,416.0,2.682692,0.0,çok_zor,0.725962,0.0,0.0,0.0,121,0,surprising_claim,0.0,164,12.195122,90549,3.18561,2.403846,2.403846,4.807692,7.211538,7.211538,38.461538,21.634615,12.019231
ZhbjdTlRHjc,Geleceği tahmin eden romanlar,20151213,manual,490,885,68,13.014706,2.563842,61.8543,orta,0.760416,4.519774,0.0,0.0,167,1,question,0.0,130,53.846154,783808,5.307386,2.259887,3.389831,3.389831,3.389831,18.079096,13.559322,5.649718,9.039548
8vkDTYo9oS0,Memleketimden İnsan Manzaraları - OKU,20151217,automatic,269,398,6,66.333333,2.550251,0.0,çok_zor,0.701005,0.0,0.0,0.0,120,0,question,8.333333,150,26.666667,59219,2.784286,5.025126,0.0,0.0,0.0,2.512563,15.075377,25.125628,17.58794
Q_Q-7bXKzmw,İş Görüşmesinde Sorulabilecek En İlginç 11 Soru,20151220,manual,612,971,57,17.035088,2.550978,51.8779,orta,0.684826,35.015448,3.089598,0.0,161,6,question,6.21118,147,20.408163,1357554,5.856355,8.238929,2.059732,4.119464,4.119464,4.119464,30.895984,22.657055,11.328527
VQdYWaJ3p9Y,Julius Caesar - OKU,20151224,automatic,244,421,1,421.0,2.662708,0.0,çok_zor,0.743468,0.0,0.0,0.0,139,0,question,14.388489,159,44.025157,51751,2.660033,7.125891,4.750594,4.750594,2.375297,2.375297,33.254157,26.128266,19.002375
jO0OtYgbOI0,"Sanatçı Mikrofonu, Radio Nish Program Kaydı - DİNLE",20151225,automatic,2930,6290,3,2096.666667,2.546423,0.0,çok_zor,0.610902,0.0,0.0,0.0,189,0,surprising_claim,0.0,196,25.510204,16584,1.660538,3.338633,2.702703,5.246423,12.082671,9.697933,10.810811,34.658188,16.375199
oNmXH2uN0Do,Zinciri Kırma!,20151227,manual,465,906,111,8.162162,2.445916,79.2571,kolay,0.644123,9.933775,8.830022,0.0,142,0,surprising_claim,0.0,161,12.42236,1312210,5.824275,1.103753,0.0,4.415011,3.311258,9.933775,16.556291,19.86755,8.830022
nODG680lAFs,Satranç - OKU,20160101,manual,553,947,102,9.284314,2.548046,72.2252,kolay,0.67623,1.055966,5.279831,0.0,172,0,surprising_claim,5.813953,138,0.0,444074,4.747834,3.167899,1.055966,6.335797,3.167899,9.503696,6.335797,10.559662,3.167899
V4nVtVWMsmw,Hayat gibi oyun,20160103,manual,655,1159,91,12.736264,2.42623,68.1096,orta,0.669669,5.176877,1.725626,0.0,157,0,surprising_claim,0.0,90,22.222222,1936925,6.214509,5.176877,4.314064,12.942192,3.451251,7.765315,16.393443,11.216566,6.039689
nxfncjYbkCU,İçimizdeki Şeytan - OKU,20160107,automatic,353,583,71,8.211268,2.619211,72.1668,kolay,0.790735,22.298456,0.0,0.0,134,3,question,7.462687,159,0.0,219934,4.055487,3.430532,1.715266,3.430532,3.430532,3.430532,18.867925,39.451115,17.152659
wkoFQVElfTM,İçinde her şey olan bir resim,20160110,manual,441,785,32,24.53125,2.561783,31.8788,zor,0.688123,8.917197,0.0,0.0,172,2,question,11.627907,183,32.786885,1219651,5.754946,2.547771,3.821656,2.547771,7.643312,5.095541,20.382166,21.656051,7.643312
EEXhEn1H5e0,Körleşme - OKU,20160114,automatic,447,704,4,176.0,2.556818,0.0,çok_zor,0.757451,0.0,0.0,0.0,132,0,question,7.575758,155,38.709677,42164,2.475889,2.840909,2.840909,5.681818,8.522727,1.420455,8.522727,11.363636,8.522727
moxSOtTPYQA,Filografikler,20160117,manual,348,631,6,105.166667,2.759113,0.0,çok_zor,0.760763,6.339144,0.0,0.0,157,0,direct_address,0.0,156,0.0,166563,3.785593,7.92393,1.584786,6.339144,7.92393,4.754358,20.602219,9.508716,7.92393
zRL2JuznHZM,Sıfır - OKU,20160121,automatic,480,773,108,7.157407,2.470893,80.8761,kolay,0.668469,16.817594,0.0,0.0,154,3,question,12.987013,160,37.5,102421,3.314421,6.468305,3.880983,5.174644,10.349288,1.293661,45.278137,56.921087,24.57956
3l1I_Hwll_Y,Beyaz Zambaklar Ülkesinde - OKU,20160128,automatic,343,590,1,590.0,2.70339,0.0,çok_zor,0.826556,0.0,0.0,0.0,156,0,surprising_claim,0.0,174,40.229885,179506,3.861578,0.0,0.0,6.779661,5.084746,5.084746,16.949153,18.644068,11.864407
0n1hSRK0Ip0,Başlangıçlar ve Sonların İlginç Hikayesi,20160131,manual,508,890,16,55.625,2.495506,0.0,çok_zor,0.657051,7.865169,1.123596,0.0,160,5,question,12.5,192,20.833333,418786,4.697409,4.494382,1.123596,12.359551,7.865169,28.089888,21.348315,19.101124,7.865169
PxuNT2Zdvlw,Camların içinden dijital dünyaya yolculuk,20160207,manual,632,1068,28,38.142857,2.797753,0.0,çok_zor,0.761647,9.363296,0.93633,0.0,162,2,question,12.345679,137,72.992701,201877,3.979242,6.554307,4.681648,9.363296,4.681648,9.363296,9.363296,31.835206,20.599251
L0LxnjQnCDE,A’mak-ı Hayal - OKU,20160211,automatic,785,1197,1,1197.0,2.493734,0.0,çok_zor,0.752626,0.0,0.0,0.0,145,0,direct_address,0.0,133,0.0,125000,3.512341,4.177109,1.670844,2.506266,4.177109,10.860485,16.708438,20.885547,4.177109
-9rVZZV8kQA,Simyacı - OKU,20160218,manual,457,739,64,11.546875,2.653586,62.0798,orta,0.727017,4.05954,1.35318,0.0,155,0,surprising_claim,0.0,123,0.0,407102,4.674012,5.41272,2.70636,2.70636,2.70636,13.5318,13.5318,23.00406,16.23816
in2jHEGhX-E,Davullar kimin için çalıyor?,20160221,automatic,757,974,1,974.0,2.586242,0.0,çok_zor,0.693473,0.0,0.0,0.0,95,0,direct_address,0.0,94,31.914894,267377,4.259246,4.106776,0.0,9.240246,8.213552,4.106776,11.293634,10.26694,5.13347
C69OP_o2g-g,Barış Özcan'ın Kamera Arkası - VLOG 1,20160222,manual,765,447,27,16.555556,2.545861,53.335,orta,0.668904,0.0,0.0,0.0,152,0,story,6.578947,0,0.0,370951,4.58296,2.237136,0.0,15.659955,4.474273,6.711409,11.185682,24.608501,42.505593
DCK_vzNoZ68,Pazar Rutinimiz - VLOG 2,20160223,manual,355,405,26,15.576923,2.239506,68.1971,orta,0.654321,41.975309,4.938272,0.0,87,6,question,0.0,103,0.0,1012249,5.580581,0.0,0.0,0.0,2.469136,0.0,19.753086,54.320988,7.407407
Es5aYB0n9vk,Seyahat Planları - VLOG 3,20160224,manual,505,877,7,125.285714,2.625998,0.0,çok_zor,0.721942,4.561003,0.0,0.0,155,1,question,0.0,105,38.095238,190192,3.925107,3.420753,3.420753,3.420753,11.402509,3.420753,17.103763,29.646522,13.68301
Iwg8yMGymv4,Japonya'ya gidiyorum - Çantamda ne var - VLOG 4,20160225,automatic,489,855,2,427.5,2.34152,0.0,çok_zor,0.676338,0.0,0.0,0.0,159,0,surprising_claim,0.0,78,25.641026,285490,4.324926,3.508772,5.847953,3.508772,3.508772,4.678363,11.695906,11.695906,15.204678
