id,title,upload_date,year_band,performance_group,log_views_per_day,visible_text_verbatim,main_subject,face_count,dominant_object_or_scene,foreground_background_layout,text_position,contrast_level,color_palette,emotional_impression,thumbnail_hook_type,interpretation
ex2RlkCjO9Q,Kaç parmak görüyorsun? 444 yıllık 4 tavsiye,20201213,2019-2022,middle,6.36693,Kaç parmak görüyorsun?,person,1,"A person wearing glasses and a blue shirt with mathematical symbols, holding up a hand with fingers spread.",single_subject,right,high,neutral,curiosity,question,"The thumbnail is designed to engage viewers by posing a question about the number of fingers they see, creating a sense of curiosity."
pZTreTu_HFc,James Webb Teleskobunun ilk görüntüleri hakkında ilginç sorular,20220717,2019-2022,middle,6.378985,Neden böyle? un yoldu 8 noktizlari ali yold Webb Teleskobunun,person,1,a person gesturing with a cosmic background,split,top,high,cool,curiosity,question,"The thumbnail is designed to intrigue viewers with a question about the Webb Telescope's image, using a split layout with a person gesturing and a cosmic background."
aD-_ODZHfHQ,Güneş sisteminin sınırında ne var? En büyük balon?,20221120,2019-2022,middle,6.379933,Burada ne var?,person,1,illustration of a cosmic scene with a bright light and swirling patterns,split,top,high,warm,curiosity,question,"The thumbnail is designed to intrigue viewers with a cosmic mystery, using a question to prompt curiosity about the content."
NJXURWmrFgM,Kullandığım en iyi not tutma uygulaması,20200823,2019-2022,middle,6.39107,EN İYİ NOT TUTMA UYGULAMASI VE ZİNCİRI KIRMA ŞABLONU,person,1,A computer screen displaying a Notion page with an astronomy topic,split,top,high,neutral,curiosity,claim,The thumbnail aims to attract viewers interested in productivity tools and astronomy education by highlighting a specific feature of the Notion app.
qL4OydeNzFE,Dünyanın en derin noktasında ne var?,20190605,2019-2022,high,7.476333,DÜNYANIN EN DERİN NOKTASINDA NE VAR?,illustration,1,"A cross-section of the Earth with a focus on the deepest point, labeled as the 'Mariana Trench'.",split,left,high,cool,curiosity,question,"The thumbnail is designed to intrigue viewers by asking about the deepest point on Earth, likely to draw them into the content for more information."
dt_lLSRX7tc,Neden herkes bu diziden bahsediyor? Squid Game,20211017,2019-2022,high,7.481487,NEDEN HERKES,person,1,a person in a red hooded jacket with a fencing mask,split,bottom,high,warm,curiosity,question,"The thumbnail is designed to intrigue viewers with a question about 'NEDEN HERKES', possibly related to the person in the fencing mask."
KW0yOEw2UqY,Uzaylılar bizi buldu mu? Oumuamua nedir?,20190224,2019-2022,high,7.492514,IZAVARIPHI AYADIPHI RAYARIPHI WADARIPHI,object,0,"a long, dark, irregularly shaped object resembling an asteroid or a piece of debris floating in space",text_led,bottom,high,cool,curiosity,mystery,"The thumbnail is designed to intrigue viewers with an unknown object and text, possibly hinting at a space-related mystery or event."
CD7TrhMXSXc,ÇİN'İN YAPAY GÜNEŞİ,20220109,2019-2022,high,7.50627,ÇIN'IN YAPAY GÜNEŞİ,person,1,abstract digital waves and dots,split,bottom,high,cool,curiosity,claim,"The thumbnail suggests a discussion about China's artificial sun project, using a futuristic and abstract design to capture attention."
84Q__dx_G4w,Dünya 2025’teki güneş fırtınasına hazır değil!,20210926,2019-2022,high,7.552277,2025 GÜNEŞ FİRTINASI DÜNYA HAZIR,person,1,a person holding a glowing object,split,left|right,high,cool,curiosity,claim,"The thumbnail suggests a prediction or forecast about a significant event related to the Sun in 2025, possibly a solar storm, and its impact on the world. The person appears to be presenting or discussing this topic."
CgESCTp0UqI,Tesla CyberTruck siparişi verdim! Etkinlik ve Araç Tasarım Analizi,20191124,2019-2022,high,7.584733,TESLA CYBERTRUCK SİPARİŞİ VERDIM!,person,1,A person holding a smartphone displaying a Tesla Cybertruck order confirmation.,split,right,high,neutral,curiosity,claim,"The thumbnail suggests the person is sharing their experience of ordering the Tesla Cybertruck, likely to engage viewers interested in the vehicle or the ordering process."
yjfXTzzXBFk,Coronavirüs Salgını,20200126,2019-2022,high,7.708206,CORONAVİRÜS SALGINI,person,1,"A person with a thoughtful expression, wearing glasses and a light-colored shirt, sitting in front of a window with blinds.",split,left|right,high,neutral,serious,event,"The thumbnail is designed to draw attention to the topic of the coronavirus pandemic, using a person in a contemplative pose to convey a sense of seriousness and urgency."
oN_8J6W8iJE,Erteleme hastalığınız varsa bu videoyu hiç ertelemeden izleyin!,20190904,2019-2022,high,7.718741,123 TIP!,person,1,"A person with glasses and a beard, touching their face",split,left|right,high,neutral,curiosity,number|mystery,"The thumbnail suggests a series of tips or steps, possibly related to skincare or personal care, given the person's gesture and the text format."
6Is9Hc8R97U,Bermuda Şeytan Üçgeninin gizemi çözülebilir mi?,20200705,2019-2022,high,7.720615,BERMUDA ŞEYTAN ÜÇGENİ,person,1,A person with a background featuring a map and text related to the Bermuda Triangle,split,center,high,cool,curiosity,mystery,"The thumbnail is designed to intrigue viewers about the mysterious Bermuda Triangle, using a person's gesture and text to create a sense of curiosity."
31xYUbF3V2M,Ay'a GERÇEKTEN gidildi mi?,20190721,2019-2022,high,7.783029,AY'A GERÇEKTEN GİPİ DİYİCİ,object,0,Astronaut on the moon with a clapperboard,split,right,high,neutral,curiosity,claim,"The thumbnail suggests a documentary or film about the Apollo 11 mission, focusing on the astronaut's experience on the moon."
dkBIPJYcTfg,Suudi Arabistan neden çizgi şeklinde bir şehir inşa ediyor?,20220731,2019-2022,high,7.918927,170 KM 500 METRE,object,0,a futuristic structure with a large scale,split,left|right,high,cool,curiosity,claim,"The thumbnail suggests a massive, possibly futuristic or alien structure, emphasizing its scale and possibly its significance or mystery."
J1UWh5tVuww,100 bebek bir odaya kapatılıp büyütülürse hangi dili konuşurlar?,20190612,2019-2022,high,8.334728,100 BEBEK BİR ODAYA KAPATILIP BÜYÜTÜLÜRSE HANGİ DİLİ KONUŞURLAR?,object,0,"A fetus in a glass container with tubes attached, surrounded by smaller images of fetuses and text",collage,left|center|right,high,neutral,curiosity,question,The thumbnail is designed to provoke curiosity about the hypothetical scenario of fetuses being kept in a room and the language they might speak. The use of multiple images of fetuses and the question format suggest a focus on the concept of language acquisition and development.
GW3MMtJMeq4,Büyük Piramidin içinde ne var? 3B TUR,20221127,2019-2022,high,8.699964,BÜYÜK PİRAMİDİN İÇİ NE VE GİZLİ BOŞLUK,object,0,The interior of the Great Pyramid with a hidden chamber highlighted,split,left,high,neutral,curiosity,mystery,"The thumbnail is designed to intrigue viewers by highlighting the mysterious hidden chamber within the Great Pyramid, sparking curiosity about its significance and secrets."
VG5bvsWlrps,Premiere Pro Eğitimi 35 - Geçiş efektlerinin varsayılan özelliklerini değiştirmek,20150605,2010-2018,low,1.623409,PREMIERE PRO EĞİTİMİ,screen,0,Adobe Premiere Pro software interface,split,top,high,neutral,curiosity,number,"The thumbnail is designed to attract viewers interested in learning video editing using Adobe Premiere Pro, with a focus on the 35th lesson of a series."
jO0OtYgbOI0,"Sanatçı Mikrofonu, Radio Nish Program Kaydı - DİNLE",20151225,2010-2018,low,1.660538,TCI MİL SANATÇI MR. SANAKBOEOL RADIO NISH PROGRAM KAYDI,object,0,A radio studio setup with microphones and equipment,text_led,bottom,high,neutral,curiosity,event,"The thumbnail suggests a live or recorded radio broadcast, possibly featuring a musical or artistic performance by Mr. Sanakboeol."
BkURBcI6-o8,Premiere Pro Eğitimi 39 - Ayarlama katmanı,20150605,2010-2018,low,1.724188,00:00:05:00,landscape,0,A sunset or sunrise over a body of water with silhouettes of people and structures in the distance,scene,bottom,low,cool,calm,mystery,"The thumbnail suggests a serene moment captured at the edge of a body of water, possibly during a sunset or sunrise, with silhouettes of people and structures adding intrigue to the scene."
_Rs5Wy8836s,Premiere Pro Eğitimi 34 - Geçiş efektlerini değiştirmek,20150605,2010-2018,low,1.812628,PREMIERE PRO EĞİTİMİ,screen,0,Adobe Premiere Pro interface with video editing elements,split,top,high,neutral,curiosity,number,"The thumbnail is designed to attract viewers interested in learning video editing using Adobe Premiere Pro, specifically focusing on a tutorial series."
b5LX2jPZSCg,Premiere Pro Eğitimi 22 - Kanalları gizlemek ve kilitlemek,20150605,2010-2018,low,1.832953,"PREMIERE PRO EĞİTİMİ
KANALLARI ÇIZİLEMİK
ALLAZLEN
KARLIGİRK
VE KEMFK
22",screen,0,Adobe Premiere Pro interface with video clips and timeline,split,top|bottom,high,neutral,curiosity,number,"The thumbnail is designed to attract viewers interested in learning Adobe Premiere Pro, with a focus on creating and editing video content."
qyDHtGuMLOk,Premiere Pro Eğitimi 17 - Klipleri zaman çizgisinden kaldırmak,20150605,2010-2018,low,1.894944,PREMIERE PRO EĞİTİMİ,screen,0,Adobe Premiere Pro interface with video editing tools,split,top,high,neutral,curiosity,number,The thumbnail is designed to attract viewers interested in learning video editing using Adobe Premiere Pro.
hEum0GELprM,Premiere Pro Eğitimi 37 - Video efektlerini uygulamak ve değiştirmek,20150605,2010-2018,low,1.903426,"PREMIERE PRO EĞİTİMİ
VIDEO EFEKTİ EDİNI
3/ VIDE-KİT",screen,0,Adobe Premiere Pro interface with a video editing project,split,top|bottom,high,neutral,curiosity,number,"The thumbnail is designed to attract viewers interested in learning video editing using Adobe Premiere Pro, specifically focusing on video effects."
iWtQKiNiGvk,Premiere Pro Eğitimi 21 - Sadece video veya ses kanalını kullanmak,20150605,2010-2018,low,1.904954,"PREMIERE PRO EĞİTİMİ
SADECE VİDEO VEYA SES ALIN ALIN ANN KANAKUL MAK
21",screen,0,Adobe Premiere Pro interface with a video editing project open,split,top|bottom,high,neutral,curiosity,number,"The thumbnail is designed to attract viewers interested in learning video editing using Adobe Premiere Pro, specifically focusing on video and audio editing techniques."
AsZha-0jZbY,Premiere Pro Eğitimi 28 - Görsellerin konumlandırılması,20150605,2010-2018,low,1.928096,PREMIERE PRO EĞİTİMİ,object,0,Adobe Premiere Pro software interface with a video clip and timeline,split,top,high,neutral,curiosity,number,"The thumbnail is designed to attract viewers interested in learning Adobe Premiere Pro, using a numbered format to indicate a series or step-by-step guide."
ooGRJ0aUj4g,Premiere Pro Eğitimi 23 - Ses ve müzik dosyalarıyla çalışmak,20150605,2010-2018,low,1.929622,"PREMIERE PRO EĞİTİMİ
SES VE MÜZİK
23
DOSYAYI İSM
ALAA CAAN",object,0,Adobe Premiere Pro interface with audio waveform and timeline,split,top|bottom,high,neutral,curiosity,number|mystery,"The thumbnail is designed to attract viewers interested in learning Adobe Premiere Pro, with a focus on audio and video editing. The number 23 suggests a series or a specific lesson within a larger tutorial."
eWEzeOq8kic,Premiere Pro Eğitimi 26 - Ses kanalında anahtar çerçeveler kullanmak,20150605,2010-2018,low,1.947235,"PREMIERE PRO EĞİTİMİ
26
SES KANALI İNDEKS ÇERÇEVELER KULLANMAK",Premiere Pro software interface,0,Video editing timeline and audio tracks,"Foreground: Timeline and audio tracks, Background: Premiere Pro interface",Top and bottom of the image,High,Dark theme with green and yellow highlights,Educational and technical,Instructional video thumbnail,"This thumbnail is for an educational video teaching Premiere Pro, focusing on using video and audio tracks with specific frames."
mq_SfrOddcM,Premiere Pro Eğitimi 36 - Toplu olarak geçiş efekti uygulamak,20150605,2010-2018,low,1.996032,PREMIERE PRO EĞİTİMİ,object,0,Adobe Premiere Pro interface with a focus on the timeline and media browser,split,top,high,neutral,curiosity,number,"The thumbnail is designed to attract viewers interested in learning Adobe Premiere Pro, using a numbered format to suggest a step-by-step guide."
8YQQRnlfHWE,Premiere Pro Eğitimi 16 - Zaman çizgisindeki klipleri ikiye bölmek,20150605,2010-2018,low,2.008565,"PREMIERE PRO EĞİTİMİ
ZAMAN ÇIZGİSİNDE KLİP KİYEFİK EDİYORU",screen,10,A video editing software interface with a scene of people fishing,split,top|bottom,high,neutral,curiosity,number,"The thumbnail is designed to attract viewers interested in learning video editing techniques, specifically in the context of Premiere Pro."
xv-Ak4uZKUY,Premiere Pro Eğitimi 30 - Görselleri şeffaflaştırma,20150605,2010-2018,low,2.017018,PREMIERE PRO EĞİTİMİ,object,0,Adobe Premiere Pro software interface with a video clip of the Maiden's Tower,split,top,high,neutral,curiosity,number,The thumbnail is designed to attract viewers interested in learning Adobe Premiere Pro by highlighting a specific tutorial video and its duration.
OdgyYhCn0O0,Beni uçabildiğine inandır Superman ya da Batman!,20160410,2010-2018,middle,4.737077,RENAREINENI IUG DIR INARI ABINAIENDI,mixed,1,a person pointing upwards and a Superman illustration,split,bottom,high,mixed,curiosity,claim,"The thumbnail suggests a discussion or presentation about Superman, possibly with a humorous or satirical twist, given the text and the person's gesture."
YHbyVTkgT0U,Olasılıksız - OKU,20160822,2010-2018,middle,4.742709,OLASILIKSIZ Adam Fawer,person,1,"A person is speaking in front of a bookshelf, with a book cover illustration to the left.",split,bottom,high,neutral,curiosity,person,"The thumbnail suggests a discussion or review of the book 'OLASILIKSIZ' by Adam Fawer, with the person likely being the reviewer or author."
nODG680lAFs,Satranç - OKU,20160101,2010-2018,middle,4.747834,STEFAN ZWEIG SATRANÇ UZUN ÖYKÜ,person,1,A book cover with a knight's helmet illustration and text,split,left,high,neutral,curiosity,object,"The thumbnail is designed to intrigue viewers with the promise of a long, intriguing story by Stefan Zweig, featuring a knight's helmet, possibly hinting at themes of chivalry or historical drama."
N_YiiG5a3XA,Türkiye Adındaki Büyük İnsan,20160717,2010-2018,middle,4.749994,TÜRKİYE ADINDAKİ BÜYÜK İNSAN,person,1,Turkish flag,split,bottom,high,warm,serious,claim,"The thumbnail suggests a serious claim about a significant person in Turkey, possibly related to national pride or leadership."
Wf9GncTMjjs,Olimpiyat Sembollerinin İlginç Anlamları,20160814,2010-2018,middle,4.757126,OLİYAT QAT NON UC AMİ OLMEMERİN ÇINİ AMİ MPİYİ POLİYİÇİ AMİ,person,1,a laurel wreath framing a person's face,split,bottom,high,neutral,curiosity,mystery,"The thumbnail suggests a mysterious or enigmatic theme, possibly related to ancient symbols or historical events, given the laurel wreath and the text which appears to be in a foreign language."
xysXdujMWVI,Çok gezen ne bilir?,20160306,2010-2018,middle,4.781771,COKENRIL I SELIP,person,1,a red airplane in flight,split,bottom,high,neutral,curiosity,object,"The thumbnail suggests a discussion or explanation related to the red airplane, possibly highlighting its features or significance."
jW-kdWUVgV0,Japonya'dan misafirlerim geldi. Tanıdınız mı?,20180223,2010-2018,middle,4.7836,TANIDINIZ MI?,person,3,urban street scene with pedestrians,split,left,high,neutral,curiosity,question,"The thumbnail is designed to prompt curiosity about the identity of the person in the selfie, encouraging viewers to engage with the content to find out more."
ULTw1LQDssk,2 Günde 4 Disney Parkı Gezmek,20180909,2010-2018,middle,4.799111,ANIMAL KINGDOM EPCOT MAGIC KINGDOM HOLLYWOOD STUDIOS,landscape,0,a collage of Disney theme park landmarks,collage,top,high,warm,wonder,scene,"The thumbnail is designed to evoke curiosity and excitement about a Disney-themed video, showcasing various attractions."
MO5aRpDYIfE,İki ayda iki yıl tatil yapmış gibi yapmak,20170702,2010-2018,middle,4.803439,iki avr. iki vitii mis iap,mixed,1,a person and a brain illustration,split,bottom,high,cool,curiosity,transformation,"The thumbnail suggests a transformation or comparison between a person and their brain activity, possibly related to mental health or cognitive processes."
xCQDLuEsKNE,80/20 kuralı,20150830,2010-2018,middle,4.826238,80/20 KURNAKIN,person,1,graphic elements with arrows and a pie chart,split,bottom,high,neutral,curiosity,claim,"The thumbnail is designed to intrigue viewers with a claim about the '80/20 rule', using visual elements to emphasize the concept."
VVjd9FtvtZU,Pi Günü - Pi Sanatı,20160314,2010-2018,middle,4.837755,Pjorli HUNA Pjorli HUNA,person,1,abstract geometric shapes,split,bottom,high,neutral,curiosity,person,The thumbnail is designed to draw attention to the person while hinting at a theme or concept related to the abstract shapes.
G-B6rfqGD_s,Pijamayla çalışmak - Başka bir şey,20160124,2010-2018,middle,4.838994,JAV LA CAMARA RIBO,person,1,"a man in a white shirt and glasses, and an office scene with multiple people working",split,bottom,high,neutral,curiosity,question,"The thumbnail is designed to intrigue viewers with a question about a camera or a mysterious event, possibly related to the man in the foreground."
ZWxqQ7MZM7Y,Blade Runner - Film Analizi,20171001,2010-2018,middle,4.849137,BLADE RUNNER FINAL,illustration,2,Blade Runner movie poster with a deer and futuristic cityscape,split,top,high,cool,curiosity,mystery,"The thumbnail is designed to intrigue viewers with a mix of iconic imagery from the Blade Runner film and a mysterious deer, hinting at a narrative or thematic connection."
zvBNYCVe9nc,Japon evinde kalıyoruz - VLOG 7,20160307,2010-2018,middle,4.850353,unknown,person,1,a person sitting on a bed with a blue background,split,left|right,high,cool,curiosity,person,"The thumbnail is designed to draw attention to the person, possibly to introduce them or their content, with a visually striking background and text elements that add intrigue."
EMlNstwTHfU,Daha etkili öğrenmek için ne yapmak gerek? Feynman Tekniği ve Ötesi,20171126,2010-2018,high,7.156133,DAHA ETKİLİ ÖĞRENMEK İÇIN NE YAPMAK GEREK?,person,1,a man sitting on a couch in a dimly lit room,split,left,high,neutral,curiosity,question,"The thumbnail is designed to prompt viewers to think about effective learning strategies, using a contemplative image and a thought-provoking question."
6WCjer_Fmsk,13 sayısı uğursuz mudur?,20180114,2010-2018,high,7.188024,11 10 9 8 13. Kişi 13. SA VISIURZ MIR,mixed,2,The Last Supper painting with overlaid text and Taylor Swift with a number tattoo,split,bottom,high,neutral,curiosity,number|mystery,"The thumbnail is designed to intrigue viewers with a mystery involving numbers and historical art, possibly hinting at a comparison or a sequence."
xX6E5mQ1XP0,11 dakikada MARS Turu,20181125,2010-2018,high,7.191519,11 DAKİKADA MAJİK TURU RS III MATUR,object,0,"A planet with a bright light source and a smaller celestial body in the background, possibly representing a moon or another planet",split,bottom,high,warm,curiosity,claim,"The thumbnail is designed to intrigue viewers with the promise of a quick, captivating journey through a celestial scene, likely related to a specific astronomical event or object."
HStCv8ixyWg,Geri dönülemeyecek o noktaya sadece 12 yıl kaldı!,20181011,2010-2018,high,7.205902,SON 12 YIL,person,1,"A person holding a tablet with a text about global warming, set against a background of a world map with a warm color gradient",split,center,high,warm,urgency,claim,"The thumbnail aims to draw attention to the urgency of global warming over the last 12 years, using a person as a focal point and a warm color palette to convey the heat and danger associated with climate change."
oB2u8dbYQLI,Evrende gözlemlenebilen en büyük ve en küçük şey nedir?,20180211,2010-2018,high,7.219709,"10 MİLYAR IŞK YILI
GARİP KUARK
KUIPER KUŞAĞI
EN BÜYÜK BILIMİMLİYİN İLE
DÜNYA TRÜYEN KUŞKU
10°",person,1,astronomical and scientific concepts,split,bottom,high,cool,curiosity,claim,"The thumbnail is designed to intrigue viewers with a mix of astronomical and scientific concepts, presented by a prominent scientist, and a mysterious angle of 10°, likely to spark curiosity and engagement."
NgsM4mRc5uk,Antarktika'ya gitmek yasak mı?,20180218,2010-2018,high,7.355902,AN TARKIYIMIZDAN YALNIZKAN ANTIKAGELAK?,person,1,a person holding a globe and a 'no entry' sign with Antarctica,split,bottom,high,cool,curiosity,question,
NSZ2AHJ-odE,6 yaşındaki oğlumla 10 ayda 1000 kitap okuduk!,20171102,2010-2018,high,7.440257,6 YAŞINDAKİ OĞLUMLU A 10 KİTAP 10 KİTAP 10 KİTAP,person,3,family sitting at a table surrounded by books,split,bottom,high,neutral,curiosity,claim,"The thumbnail suggests a family-oriented content piece, possibly about a child's reading achievement, with a focus on the child's age and the number of books read."
GhfdQWe54-o,Herkes Nerede? Neden uzaylılarla karşılaşmadığımızı açıklayan 17 hipotez,20170820,2010-2018,high,7.504582,NEL UZAYI JENILARLAR? KARINCI ŞİLAŞMADİGIMIZI AÇIKLA YAN 17 HIPOTEZ,person,1,a UFO hovering over a road with a beam of light,split,bottom,high,cool,curiosity,question,"The thumbnail is designed to intrigue viewers with a question about space aliens and UFOs, using a split layout to juxtapose a person with a mysterious scene."
CgXPnpvrGNM,Yabancı dil öğrenmenin en hızlı yolu: KO-KO Tekniği,20170305,2010-2018,high,7.602214,YABANCI DİL ÖĞRENMENİN EN HIZLI YOLU: KO-KO TEKNİĞİ,person,1,"A person wearing glasses and a white shirt, with text overlay",split,right,high,neutral,curiosity,claim,The thumbnail aims to attract viewers by highlighting a quick method for learning a foreign language.
FgorLc4K2eA,Kimdi bu Stephen Hawking?,20180318,2010-2018,high,7.61461,KIMIL STEPHENSKIRI EPARKI,person,2,a person in a wheelchair in front of a chalkboard with mathematical equations,split,bottom,high,neutral,curiosity,question,"The thumbnail is designed to intrigue viewers with a question about the connection between the two individuals, possibly related to the content of the video."
